;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;range_dia_anterior;posicao_range_d1;distancia_mm20;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_c1;tamanho_medio_ordem_c1;pavio_superior_dolar_c1;pavio_inferior_dolar_c1;range_dolar_c1;volume_real_norm_dolar_c1;tamanho_medio_ordem_dolar_c1;correlacao_movel_WIN_WDO_c1;ratio_vol_WIN_WDO_c1;mag_decisao
2024-12-26;-2.4492935982947064e-16;1.0;-0.8486442574947509;0.5289640103269624;0.43388373911755823;-0.900968867902419;0.011948157148643175;0.07457627118644068;-0.030405693554881593;1;0.001922998240661184;0.004459719324086576;0.007241929544617651;2.6726654462270822;0.004703974047039741;0.00210867802108678;0.00746147607461476;1.4365444189021037;2.6984288330602264;-0.60938747940396;2.8114011729481527;200.0
2024-12-27;-2.4492935982947064e-16;1.0;-0.72479278722912;0.6889669190756865;-0.433883739117558;-0.9009688679024191;0.011865308293441349;0.5827586206896552;-0.024901797689310574;1;0.0006122199093914534;0.0024080649769397167;0.006856862985184278;2.795290787036014;0.002903225806451613;0.0017741935483870969;0.007419354838709678;1.446656568739145;2.540764762870749;-0.8003167830143093;3.1710119761550994;900.0
2024-12-30;-2.4492935982947064e-16;1.0;-0.20129852008866114;0.9795299412524943;0.0;1.0;0.0144483898616383;0.11299435028248588;-0.03033954675226993;1;0.0005761079790955105;0.0004938068392247233;0.003909304143862392;2.7985749064782377;0.0023237179487179487;0.0016025641025641025;0.007692307692307693;1.3651743076236404;2.5556255498474005;-0.6023164197788979;3.004526156082261;185.0
2025-01-02;0.49999999999999994;0.8660254037844387;0.39435585511331855;0.9189578116202306;0.43388373911755823;-0.900968867902419;0.008230113987078722;0.38;-0.026647512372701534;-1;0.004803350028737992;0.001806388044995484;0.010838328269972905;2.5108662093153935;0.0021705924913578262;0.0043411849827156524;0.0110137470857786;1.90672255853221;2.728007225390966;-0.6298767679277554;2.926607601040726;670.0
2025-01-03;0.49999999999999994;0.8660254037844387;0.5712682150947923;0.8207634412072763;-0.433883739117558;-0.9009688679024191;0.017037523606207406;0.4650602409638554;-0.029037204293326607;-1;0.0012781923885704862;0.0011544963509668906;0.005813713767368985;2.5833371237434792;0.0022653721682847896;0.0004854368932038835;0.00889967637540453;2.050187502070177;2.7013899128109857;-0.25053958802457915;2.6866300003092927;135.0
2025-01-06;0.49999999999999994;0.8660254037844387;0.9377521321470804;0.3473052528448203;0.0;1.0;0.017193749226899764;0.21342925659472423;-0.037415771371697576;1;0.00016677089847821555;0.0008338544923910778;0.009339170314780071;2.861325386471324;0.0004857119728001295;0.0004857119728001295;0.004776167732534607;2.4049089477139454;2.5268207282913164;-0.18484284188897956;2.981748869119653;50.0
2025-01-07;0.49999999999999994;0.8660254037844387;0.9884683243281114;0.1514277775045767;0.7818314824680298;0.6234898018587336;0.01371690639983323;0.7507598784194529;-0.026261813794490246;1;0.0007021311746241533;0.0011977531802412028;0.00792995208987279;2.8845155494125776;0.0006511476477291225;0.0031743447826794724;0.006511476477291226;2.353937101733884;2.617261209452781;-0.7423478317506794;3.256758296205554;375.0
2025-01-08;0.49999999999999994;0.8660254037844387;0.9987165071710528;-0.05064916883871264;0.9749279121818236;-0.22252093395631434;0.016025111514951264;0.6623711340206185;-0.015494679683298656;-1;0.0012274959083469722;0.0014320785597381341;0.007160392798690671;2.8383166608989785;0.0030073965699422907;0.0004064049418840933;0.003982768430464114;2.11869536658112;2.571611635916048;-0.9072452954206526;3.455127805843958;630.0
2025-01-09;0.49999999999999994;0.8660254037844387;0.9680771188662043;-0.2506525322587204;0.43388373911755823;-0.900968867902419;0.01620294599018003;0.20454545454545456;-0.024014772105125995;-1;0.0012833781825708963;0.001366176774994825;0.00376733595528876;2.707913671024707;0.0019569471624266144;0.0017938682322243965;0.004321591650358773;1.8545494555097097;2.601508814601687;-0.7047805289254979;3.7777142227323517;135.0
2025-01-10;0.49999999999999994;0.8660254037844387;0.8978045395707416;-0.4403941515576344;-0.433883739117558;-0.9009688679024191;0.005588904988615194;0.9407407407407408;-0.01918743432601024;-1;0.002559656510610189;0.000412847824291966;0.005119313021220378;2.712596464098256;0.0017315303430079155;0.001484168865435356;0.005277044854881266;1.4147207813748621;2.535806126307828;0.1275032310633619;3.627465942221703;625.0
