time;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick
2024-01-11 12:30:00;131235.0;131540.0;131545.0;131225.0;352122;103904
2024-01-11 12:40:00;131540.0;131540.0;131635.0;131465.0;274068;81041
2024-01-11 12:50:00;131535.0;131410.0;131550.0;131360.0;257805;73865
2024-01-12 10:00:00;131830.0;131885.0;131945.0;131660.0;459351;129307
2024-01-12 10:10:00;131885.0;131665.0;131930.0;131630.0;588189;165130
2024-01-12 10:20:00;131660.0;131600.0;131695.0;131460.0;363275;104421
2024-01-12 10:30:00;131600.0;132280.0;132360.0;131575.0;855703;227709
2024-01-12 10:40:00;132280.0;132225.0;132390.0;132135.0;600172;166808
2024-01-12 10:50:00;132225.0;132395.0;132455.0;132185.0;410141;116880
2024-01-12 11:00:00;132395.0;132315.0;132455.0;132250.0;287918;79734
2024-01-12 11:10:00;132310.0;132505.0;132640.0;132285.0;428704;112459
2024-01-12 11:20:00;132500.0;132870.0;132875.0;132490.0;410974;111521
2024-01-12 11:30:00;132870.0;132950.0;133040.0;132750.0;477976;119564
2024-01-12 11:40:00;132955.0;132880.0;133025.0;132870.0;312583;86024
2024-01-12 11:50:00;132880.0;132520.0;132900.0;132500.0;408674;115383
2024-01-12 12:00:00;132515.0;132520.0;132685.0;132435.0;385359;106052
2024-01-12 12:10:00;132520.0;132400.0;132585.0;132385.0;271532;81227
2024-01-12 12:20:00;132400.0;132310.0;132455.0;132265.0;237511;69731
2024-01-12 12:30:00;132315.0;132000.0;132380.0;131985.0;382022;107554
2024-01-12 12:40:00;132005.0;131910.0;132145.0;131870.0;281870;79473
2024-01-12 12:50:00;131910.0;132005.0;132035.0;131790.0;287715;82820
2024-01-15 10:00:00;131500.0;131415.0;131500.0;131380.0;255378;71192
2024-01-15 10:10:00;131420.0;131375.0;131510.0;131325.0;359238;101680
2024-01-15 10:20:00;131370.0;131435.0;131480.0;131260.0;400662;104983
2024-01-15 10:30:00;131430.0;131595.0;131625.0;131335.0;364664;99880
2024-01-15 10:40:00;131595.0;131695.0;131735.0;131500.0;333637;91554
2024-01-15 10:50:00;131695.0;131685.0;131805.0;131605.0;338718;89076
2024-01-15 11:00:00;131680.0;131650.0;131700.0;131530.0;271892;73534
2024-01-15 11:10:00;131650.0;131580.0;131735.0;131550.0;293732;77503
2024-01-15 11:20:00;131580.0;131850.0;131880.0;131565.0;283934;73004
2024-01-15 11:30:00;131850.0;131800.0;131895.0;131705.0;316076;80031
2024-01-15 11:40:00;131800.0;131740.0;131805.0;131715.0;144696;38161
2024-01-15 11:50:00;131745.0;131745.0;131805.0;131645.0;216322;55794
2024-01-15 12:00:00;131745.0;131625.0;131745.0;131585.0;252265;62031
2024-01-15 12:10:00;131630.0;131550.0;131640.0;131455.0;206177;55514
2024-01-15 12:20:00;131545.0;131640.0;131760.0;131530.0;261524;69852
2024-01-15 12:30:00;131640.0;131650.0;131665.0;131570.0;158783;41866
2024-01-15 12:40:00;131650.0;131725.0;131740.0;131625.0;118004;31617
2024-01-15 12:50:00;131720.0;131830.0;131850.0;131690.0;172665;45403
2024-01-16 10:00:00;131710.0;131770.0;131855.0;131605.0;494283;135151
2024-01-16 10:10:00;131770.0;131445.0;131775.0;131435.0;467404;127855
2024-01-16 10:20:00;131450.0;131295.0;131460.0;131130.0;624862;162847
2024-01-16 10:30:00;131295.0;131550.0;131575.0;131290.0;549055;150456
2024-01-16 10:40:00;131555.0;131475.0;131600.0;131350.0;428042;119741
2024-01-16 10:50:00;131475.0;131275.0;131485.0;131100.0;537610;139438
2024-01-16 11:00:00;131270.0;131350.0;131420.0;131205.0;344599;94825
2024-01-16 11:10:00;131350.0;131400.0;131565.0;131350.0;358572;97779
2024-01-16 11:20:00;131400.0;131475.0;131505.0;131310.0;310117;81437
2024-01-16 11:30:00;131475.0;131165.0;131530.0;131010.0;710904;191606
2024-01-16 11:40:00;131170.0;130880.0;131175.0;130820.0;589245;152109
2024-01-16 11:50:00;130885.0;130780.0;130925.0;130710.0;473241;117661
2024-01-16 12:00:00;130780.0;130845.0;130850.0;130705.0;302425;78792
2024-01-16 12:10:00;130840.0;130790.0;130860.0;130615.0;316380;82213
