<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.12.08	10:27:00	159180	159265	159130	159185	18112	58301	5
2025.12.08	10:28:00	159185	159320	159175	159265	15464	50262	5
2025.12.08	10:29:00	159260	159315	159135	159155	13279	41634	5
2025.12.08	10:30:00	159155	159315	159125	159260	21137	68613	5
2025.12.08	10:31:00	159255	159355	159225	159315	14035	46015	5
2025.12.08	10:32:00	159315	159315	159205	159275	13497	45304	5
2025.12.08	10:33:00	159275	159370	159275	159335	12547	41583	5
2025.12.08	10:34:00	159335	159335	159210	159255	13368	47323	5
2025.12.08	10:35:00	159255	159265	159055	159080	24218	82038	5
2025.12.08	10:36:00	159080	159120	159025	159035	15372	51223	5
2025.12.08	10:37:00	159035	159065	158935	158945	20584	70291	5
2025.12.08	10:38:00	158950	159095	158940	159075	16878	56751	5
2025.12.08	10:39:00	159070	159105	158980	159055	13756	48683	5
2025.12.08	10:40:00	159050	159140	159035	159070	12073	40598	5
2025.12.08	10:41:00	159070	159155	159015	159140	13633	48211	5
2025.12.08	10:42:00	159140	159260	159125	159245	17827	62302	5
2025.12.08	10:43:00	159250	159255	159105	159155	16423	58851	5
2025.12.08	10:44:00	159160	159200	159095	159185	10192	32459	5
2025.12.08	10:45:00	159185	159200	159150	159175	5320	17933	5
2025.12.08	10:46:00	159180	159265	159170	159255	10971	37184	5
2025.12.08	10:47:00	159260	159355	159240	159335	19913	72017	5
2025.12.08	10:48:00	159335	159445	159280	159405	23131	75240	5
2025.12.08	10:49:00	159400	159485	159370	159415	13990	52376	5
2025.12.08	10:50:00	159420	159565	159405	159555	18478	67041	5
2025.12.08	10:51:00	159555	159565	159355	159375	22878	77703	5
2025.12.08	10:52:00	159380	159410	159330	159390	13052	43601	5
2025.12.08	10:53:00	159385	159515	159385	159425	18823	62289	5
2025.12.08	10:54:00	159425	159555	159405	159540	12088	41734	5
2025.12.08	10:55:00	159545	159545	159400	159440	14087	51504	5
2025.12.08	10:56:00	159445	159465	159370	159440	9066	30131	5
