;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;mov_direcional_c3;pavio_superior_c3;pavio_inferior_c3;range_candle_c3;volume_real_norm_c3;tamanho_medio_ordem_c3;diferenca_MA_c3;mov_direcional_c4;pavio_superior_c4;pavio_inferior_c4;range_candle_c4;volume_real_norm_c4;tamanho_medio_ordem_c4;diferenca_MA_c4;label_Compra;label_Lateral;label_Venda
2025-05-09;0.003180109858340561;0.02375366568914956;2031.4285714285713;0.7469135802469136;0.04227287574950909;0.49999999999999994;-0.8660254037844387;0.9680771188662043;-0.2506525322587204;-0.433883739117558;-0.9009688679024191;-1.0;0.00021613832853025936;0.0011887608069164265;0.003962536023054755;1.4042640307752907;2.8844762481671657;-0.001869976444717223;1.0;0.000939001047347322;0.0008667701975513742;0.003756004189389288;1.4445023766559926;3.1999842532084086;-0.00059274211312561;-1.0;0.0007569476985185452;0.0005767220560141296;0.003099881051075947;1.8413743658458488;3.347522205385811;9.629041188230688e-05;1.0;0.001733227413880263;0.0005416335668375821;0.004694157579259045;1.8605362285036084;3.4451413844422665;0.0010686454618590328;False;True;False
2025-05-12;0.01508464766314571;0.008393371757925072;1915.357142857143;2.060085836909871;0.04797899635125092;0.49999999999999994;-0.8660254037844387;0.6513724827222223;-0.7587581226927909;0.0;1.0;-1.0;3.563664872955347e-05;0.0014611025979116923;0.007341149638288015;1.4855653849214885;3.1942479905742114;0.0017445125521261349;1.0;0.0018998458615621752;0.00021507688998817078;0.002258307344875793;1.057808502831167;3.211916074507001;0.0037633059746962475;-1.0;7.168201856564281e-05;0.001254435324898749;0.00612881258736246;2.086547102975711;3.3800198265505084;0.004917908148361587;-1.0;0.002304894298988007;0.000468181654481939;0.00482587243850614;1.9735175753229441;3.444469979362679;0.0024700268655519233;False;True;False
2025-05-13;0.0005771172990910403;0.016036491928299063;1909.642857142857;0.28444444444444444;0.031725369137501395;0.49999999999999994;-0.8660254037844387;0.48530196253108104;-0.8743466161445821;0.7818314824680298;0.6234898018587336;-1.0;0.0006128334534967556;0.0015140591204037491;0.0033165104542177363;1.3660221468856542;2.7421378438050574;0.0007579312087198181;1.0;0.0007579038544824599;0.0008300851739569799;0.0028872527789808;1.49811001145954;3.0086070905582827;0.0008930859925668682;1.0;0.0014777970011534026;0.00046856978085351786;0.006451845444059977;2.5680580545369622;3.247091338567617;0.0017382914508753023;1.0;0.002762827412988877;0.0005382131324004305;0.003982777179763186;2.0815135995227076;3.471646398319641;0.003135445675515214;True;False;False
2025-05-14;0.00021348514499199432;0.021881759192501803;1955.357142857143;0.7347611202635914;0.04011188852587607;0.49999999999999994;-0.8660254037844387;0.29936312297335804;-0.9541392564000488;0.9749279121818236;-0.22252093395631434;1.0;0.0009249048415211127;0.0008537583152502579;0.0034861797872718864;1.7479319081162983;2.863240185422832;-6.707940228302125e-05;-1.0;0.0009943181818181817;0.00078125;0.0023082386363636365;1.363095199141938;2.8957912870608857;-0.00043820690471974466;1.0;0.000923820352472996;0.0029135872654917567;0.004476975554292211;2.4589721411991006;3.190900832972161;4.339969541293191e-05;-1.0;0.0015268259773461633;0.0011007350069239784;0.0033732201825089655;2.322666811597226;3.3188860847398773;-0.00018951507829334776;False;False;True
2025-05-15;-0.0020704672830471568;0.007861691152929458;1844.2857142857142;-0.13574660633484162;0.02971267130414924;0.49999999999999994;-0.8660254037844387;0.10116832198743272;-0.994869323391895;0.43388373911755823;-0.900968867902419;1.0;0.0003219459846181363;0.0014666428188159543;0.0028617420854945446;1.1626778620886096;2.6343501550201007;-0.0009449506680165731;1.0;0.0002501250625312656;0.0010362324019152433;0.0018938040448795827;1.1197292674166994;2.8455546473049;-0.0007657909668408313;1.0;0.0008570816370259267;0.0007142346975216056;0.0037854438968645096;2.0126974167269536;3.089590471836396;-0.0003325731660966795;1.0;0.0005344735435595938;0.0025298414395154107;0.0035987885266345982;1.7052726169961292;3.0973333915721195;0.0007003798670466028;False;True;False
2025-05-16;-0.002161970583023215;0.011446968341978178;1764.642857142857;0.75;0.03263241675010912;0.49999999999999994;-0.8660254037844387;-0.10116832198743204;-0.9948693233918952;-0.433883739117558;-0.9009688679024191;-1.0;0.00014207572636215103;0.0010655679477161327;0.008666619308091213;2.0618671845305916;3.305542196012855;-0.00021471514457486402;-1.0;0.000572573718866304;0.001395648439736616;0.003363870598339536;1.5701353498652335;3.153589376541894;-0.0033168090147126395;-1.0;0.0008959288990825689;0.0013976490825688074;0.0028311353211009174;1.95908912528156;3.1654161798785743;-0.006565710893581935;1.0;0.0006812477590534241;0.001936177841520258;0.005880243814987451;2.3536347975912397;3.3753857819128226;-0.005531531316885572;False;False;True
2025-05-19;-0.0023160520220915732;0.012289550330326063;1837.857142857143;0.5086705202312138;0.022838523021172757;0.49999999999999994;-0.8660254037844387;-0.651372482722222;-0.7587581226927911;0.0;1.0;1.0;0.002;0.00075;0.0033928571428571428;1.3904987397429438;2.6416558939543235;-0.0012174713081273612;1.0;0.0006067311467218673;0.0005710410792676399;0.0019272636425282843;1.1357342043386984;3.1229715016504502;-0.0017197654144873327;-1.0;0.001854493580599144;0.0004992867332382311;0.0028530670470756064;2.206725545997679;3.263167831271956;-0.0019347114187620357;1.0;0.00042817383857846286;0.0004638549917933348;0.007171911796189253;2.6527851412761394;3.4065167821876634;7.879661804800669e-06;True;False;False
2025-05-20;-7.076640011322624e-05;0.013178571428571428;1881.7857142857142;0.7615176151761518;0.028301955447526034;0.49999999999999994;-0.8660254037844387;-0.7907757369376986;-0.6121059825476627;0.7818314824680298;0.6234898018587336;-1.0;0.00035385704175513094;0.00148619957537155;0.0030785562632696392;1.2704170364440845;2.760275995117918;-0.0005944296821178101;1.0;0.000566873339238264;0.0009211691762621789;0.0032595217006200178;1.1516393399451976;2.993705918939747;4.322625012289334e-05;-1.0;0.00014146772767462422;0.0020866489832007075;0.005481874447391689;2.465503917791669;3.1211418872398315;-0.0005874305629477416;-1.0;0.00014192953198736828;0.002696661107759997;0.0038675797466557853;2.215511805586376;3.3243075338866395;-0.000931385317263082;False;True;False
2025-05-21;-0.0016254416961130741;0.009483368719037509;1883.2142857142858;0.6567164179104478;0.024495575349593613;0.49999999999999994;-0.8660254037844387;-0.8978045395707417;-0.44039415155763423;0.9749279121818236;-0.22252093395631434;1.0;0.0015573016210094145;0.0006016847172081829;0.002335952431514122;1.414250582922235;2.5769863141261613;0.0010576768069955624;-1.0;0.0014507625349421463;0.0004599978769328757;0.0031492162343866106;1.3004190250680465;2.8616788727687896;0.00012203090924834542;-1.0;0.00010628122010840685;0.0003188436603252205;0.0031530095298827362;2.0714319945990978;3.1002083338150523;-0.0017209394118807744;-1.0;0.0006039290916195957;0.0013144339052897083;0.002202564922377349;1.6911106035694612;3.3196566278158874;-0.002874414160438272;False;False;True
2025-05-22;3.5955702574428306e-05;0.019289304169321158;1968.9285714285713;0.10091743119266056;0.006333682490922807;0.49999999999999994;-0.8660254037844387;-0.9680771188662041;-0.2506525322587213;0.43388373911755823;-0.900968867902419;-1.0;0.001042677884442527;0.001006723474634164;0.004925754143745731;1.580853061127896;2.725819675436215;-0.0006009687616438397;1.0;0.0003245114300137016;0.0018388981034109758;0.005336410182447538;1.8173985602183311;3.035241626953115;-0.00026757402215670325;1.0;0.0021565667457407807;0.0012939400474444684;0.003666163467759327;2.6004619198842294;3.3552685581388277;-0.00021161739574864942;-1.0;0.00014374528335788983;0.0013655801918999533;0.004132676896539332;1.9896479634730462;3.3091395529472685;0.00020017134667277517;True;False;False
2025-05-23;0.001100594320933304;0.03577463775932118;2240.3571428571427;0.2542713567839196;-0.01311720860593041;0.49999999999999994;-0.8660254037844387;-0.9987165071710528;-0.05064916883871355;-0.433883739117558;-0.9009688679024191;1.0;0.0005130460275579009;0.003518029903254178;0.010260920551158018;2.0586094561860597;2.6753183657402646;-0.00908053512030488;-1.0;3.642058491459373e-05;0.0033871143970572166;0.00644644352988309;1.3653419022946738;2.937807366669079;-0.007935348221751473;-1.0;3.653101483159202e-05;0.003324322349674874;0.0063929275955286035;1.9097699271923088;2.9901268467270423;-0.004930400335478957;1.0;0.002491663918507933;0.0006962002125242754;0.0071452127074859845;1.9807313311001808;2.863006527273163;-0.004550044405513442;True;False;False
