;range_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;mov_direcional_c2;mov_direcional_c3;mov_direcional_c4;pavio_superior_c1;pavio_superior_c2;pavio_superior_c3;pavio_superior_c4;pavio_inferior_c1;pavio_inferior_c2;pavio_inferior_c3;pavio_inferior_c4;range_candle_c1;range_candle_c2;range_candle_c3;range_candle_c4;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;tamanho_medio_ordem_c3;tamanho_medio_ordem_c4;pavio_superior_dolar_c1;pavio_superior_dolar_c2;pavio_superior_dolar_c3;pavio_superior_dolar_c4;pavio_inferior_dolar_c1;pavio_inferior_dolar_c2;pavio_inferior_dolar_c3;pavio_inferior_dolar_c4;range_candle_dolar_c1;range_candle_dolar_c2;range_candle_dolar_c3;range_candle_dolar_c4;volume_real_norm_dolar_c1;volume_real_norm_dolar_c2;volume_real_norm_dolar_c3;volume_real_norm_dolar_c4;tamanho_medio_ordem_dolar_c1;tamanho_medio_ordem_dolar_c2;tamanho_medio_ordem_dolar_c3;tamanho_medio_ordem_dolar_c4;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;correlacao_movel_WIN_WDO_c3;correlacao_movel_WIN_WDO_c4;ratio_vol_WIN_WDO_c1;ratio_vol_WIN_WDO_c2;ratio_vol_WIN_WDO_c3;ratio_vol_WIN_WDO_c4;label_Compra;label_Lateral;label_Venda
2022-04-19;0.009682762135303861;0.2807017543859649;-0.01361565748105086;0.8660254037844387;-0.4999999999999998;-0.743144825477394;-0.6691306063588585;0.7818314824680298;0.6234898018587336;-1;-1;-1;1;0.00038325597240557;0.0010672358591248667;0.00021359306249733008;0.00017140898183064793;0.0008090959417450922;0.00029882604055496263;0.00029903028749626214;0.0008998971546109016;0.0036196397393859388;0.0020917822838847386;0.0036310820624546117;0.0047994514912581415;2.649028030419251;3.0604473997670065;3.0629801241005414;3.252811661741597;0.0005341880341880342;0.0014982876712328766;0.0012856224555388902;0.00021372088053002778;0.002670940170940171;0.0014982876712328766;0.0014998928647953717;0.003098952767685403;0.004914529914529914;0.004066780821917808;0.005356760231412042;0.005663603334045736;2.2137112845259312;2.371778696914869;2.3081380589923217;2.1289076305258483;2.864883751520931;2.772238009753545;3.0506467582242096;3.0938164316933388;0.4092706812422805;0.45682007973896166;0.3882910391814371;0.3855548830867355;2.0811798905510615;1.838916198041606;3.560776625844429;3.4762106316255266;False;False;True
2022-04-20;0.0114976791721671;0.9518518518518518;-0.013723604010804136;0.8660254037844387;-0.4999999999999998;-0.8660254037844385;-0.5000000000000004;0.9749279121818236;-0.22252093395631434;-1;-1;-1;-1;0.0001277737552706674;0.000685048809727693;0.0008566411102068788;4.283205551034394e-05;0.0005536862728395587;0.0006422332591197123;0.0027840836081723564;0.000770976999186191;0.005962775245964479;0.0017126220243192328;0.003683556773889579;0.005568167216344713;2.6542740112362067;3.067646582323225;3.3753919895092643;3.298891068229239;0.0026821156528269497;0.0018218840424391813;0.0002134927412467976;0.0007501071581654522;0.000429138504452312;0.0005358482477762298;0.0008539709649871904;0.003750535790827261;0.004076815792296964;0.006215839674204265;0.004803586678052947;0.0046078011144449205;1.6475370433261047;1.947475737893933;1.9086040759919272;1.9403627656322366;2.7084360476864013;2.7778258349696805;3.0524344929824223;3.137480527175939;-0.7221542108256079;-0.7073288129676178;-0.6581354374564752;-0.47158473149904506;3.096433540608995;1.9458217205138186;4.70814240617106;4.4982667446479265;False;True;False
2022-04-22;0.014438434345585416;-0.7168141592920354;-0.037052455411113426;0.8660254037844387;-0.4999999999999998;-0.9945218953682733;-0.10452846326765423;-0.433883739117558;-0.9009688679024191;-1;1;-1;1;0.001222707423580786;8.756184054988836e-05;0.0006996676578625153;0.000964151108773775;0.0022707423580786024;0.0014447703690731578;0.00021864614308203604;0.0020159523183451663;0.00611353711790393;0.002714417057046539;0.003148504460381319;0.00407572968708914;2.647733658305406;2.8210493399138015;2.897984023943009;2.9058577684903186;0.002877237851662404;0.0020178419711129993;0.003084450116996384;0.00021251726702794602;0.0018115942028985507;0.004248088360237893;0.00010636034886194426;0.0;0.008098891730605285;0.007752761257434154;0.004148053605615826;0.007013069811922219;2.4601857843429453;2.338034629588124;2.034038323792555;1.8754797946958912;3.1910690352419837;3.0315953272292635;3.165826892130741;2.926489587101442;0.20571142688202643;-0.05306733009543633;-0.28835855242897507;-0.5131804474602499;1.8989244962369507;1.543521762741116;3.0553273281280813;3.8469905792814827;False;True;False
2022-04-25;0.02096069868995633;-0.3770833333333333;-0.06156689291275864;0.8660254037844387;-0.4999999999999998;-0.8660254037844386;0.5000000000000001;0.0;1.0;-1;1;-1;-1;0.0005838235954551579;8.991592860675269e-05;0.0007167495408323254;0.002241348395194549;0.0015269232496519514;0.0008991592860675268;0.0018366706983828339;0.0006275775506544738;0.0031436655139893115;0.0046306703232477636;0.003180576087443444;0.005334409180563026;2.600155781553113;2.938408688192345;2.8949601017461912;2.881924696489117;0.007563199336924989;0.0033157185783856597;0.0008311688311688312;0.002979860254829429;0.0004144218814753419;0.00041446482229820747;0.0001038961038961039;0.0030826140567200987;0.008184832159138003;0.006320588540047663;0.011948051948051949;0.006781750924784217;2.562020434025109;2.145110809649403;2.2836469528982253;1.807337919835292;2.813869254445383;2.7064630452993104;2.9583464551747185;2.710810360200361;-0.9547367599163713;-0.9395824573438473;-0.9366844826822275;-0.929391930849284;1.782009185770114;1.8674764770865873;2.5071670960986143;4.509489008153301;False;True;False
2022-04-26;0.01827816948848071;0.6191646191646192;-0.052215457466599016;0.8660254037844387;-0.4999999999999998;-0.743144825477394;0.6691306063588585;0.7818314824680298;0.6234898018587336;-1;-1;1;-1;0.0001338270062898693;0.0003137325206167085;0.0020639834881320948;0.0002687569988801792;0.0002676540125797386;0.0007619218357834349;0.001166599362857271;0.001702127659574468;0.0051300352411116565;0.0021961276443169596;0.0049804818952752725;0.007883538633818589;2.6140504039044092;3.0003715511661913;3.1044687080722912;3.1176522229652237;0.0006107491856677524;0.001012248203259439;0.0001012555690562981;0.0012090680100755667;0.0028501628664495114;0.002631845328474542;0.0007087889833940867;0.0017128463476070528;0.008957654723127036;0.0039477679927118125;0.005771567436208992;0.003828715365239295;1.9251142682517188;1.4902374302695856;1.6634663194262103;1.5140870855539252;2.6333959319057607;2.615907083623176;2.9704482550435554;2.7767712714331934;-0.5849745749853966;-0.5869324864289851;-0.5522436948806014;-0.5560222391722048;1.726261756248003;2.243884584701527;3.5851660824393954;4.743025776989682;False;False;True
2022-04-27;0.02578400321184815;0.44809688581314877;-0.06139115921440721;0.8660254037844387;-0.4999999999999998;-0.5877852522924734;0.8090169943749473;0.9749279121818236;-0.22252093395631434;1;1;-1;1;0.002986290213112529;0.0007196186021408654;0.0008067046116613634;0.000629581328416603;0.0010406768924483055;0.00040478546370423675;0.0011204230717518934;0.0037774879704996177;0.010044794353196688;0.004677520913915625;0.005288396898668938;0.007015334802356433;2.7236629485371537;3.0788807828151237;3.049812739658146;2.9802496394414835;0.00040060090135202804;9.915716410510659e-05;0.0021971437131728753;0.0014953643704516;0.0017025538307461191;0.00019831432821021318;0.0024967542195146308;0.0021932010766623467;0.012118177265898849;0.0075359444719881015;0.006491560970738041;0.004984547901505334;2.5813873542398724;1.8370466640795962;1.921273239125237;1.4158861818664077;2.6931131011724143;2.9637611739133307;2.7372199049374335;2.7946663962685054;-0.8522354540172663;-0.7754384754626367;-0.6808313905918442;-0.554429982464263;1.6266731328806983;2.3707984645084776;2.9893830804701214;4.942644706985623;False;False;True
2022-04-28;0.01189991403103932;1.3041825095057034;-0.04440423904171914;0.8660254037844387;-0.4999999999999998;-0.40673664307580015;0.913545457642601;0.43388373911755823;-0.900968867902419;-1;-1;-1;-1;0.0008920208732884349;0.0011621669944573575;0.00121049092131809;0.00040460348858119044;0.0006690156549663262;0.00022349365278026103;0.0007621609504595382;0.0017532817838518252;0.003746487667811427;0.004335776863937064;0.0046626316969289395;0.0038212551699334653;2.497119584316482;2.6920555713468577;2.931875667202031;2.9443321590295204;0.0008018442417560389;0.0012959824543913867;0.0004984051036682615;0.0016952532907857998;0.00040092212087801946;0.004087329279234373;0.0033891547049441787;0.0015955325089748703;0.006615214994487321;0.005483002691655867;0.00428628389154705;0.005584363781412046;1.6206278941513144;1.7544990476715172;1.075844093791739;1.4748902609060583;2.52066169825407;2.572345900953038;2.639923679867987;2.740923709682407;0.09418170500093158;0.11236604470824177;0.13529184772023053;0.14863794979046047;2.0676591322421407;1.8360661623039531;4.7639500404349;3.9816039691650706;False;False;True
2022-04-29;0.01734980598546006;0.2647814910025707;-0.05135836598104685;0.8660254037844387;-0.4999999999999998;-0.20791169081775898;0.9781476007338057;-0.433883739117558;-0.9009688679024191;1;1;1;1;9.022013713460844e-05;0.0018664178109585388;0.001904508813889627;0.001723756906077348;0.0009022013713460845;0.0030218193129804916;0.0005314908317831517;0.00256353591160221;0.016104294478527608;0.00817668755277074;0.004561962972805386;0.004994475138121547;2.8531213269210056;3.112982948533752;3.0540534741509817;3.0420297607469364;0.0033343437405274324;0.003542151604088655;0.0016222244753117713;0.004548670777317295;0.0022228958270182884;0.004959012245724117;0.001723613505018757;0.0011118973011220055;0.007173891078104476;0.010322841817629795;0.0063875088715401;0.007480036389366219;1.4082397362042889;1.8656683623387331;1.2951201454146362;1.1621002704352752;2.44082967421009;2.666717424545241;2.827308770911904;2.7490380504489096;-0.37630086518078953;-0.49115240871448507;-0.5429296319534977;-0.600350742804446;3.8323793409275324;3.325038543530397;4.381534483466269;4.745764897773395;False;False;True
2022-05-02;0.0448845182244677;0.0592964824120603;-0.06474000124735743;0.49999999999999994;-0.8660254037844387;0.39435585511331855;0.9189578116202306;0.0;1.0;1;-1;1;-1;0.0051968359087564385;0.0019277550833065589;0.0012399540757749713;0.0010074643952923937;0.000873804267844003;0.001239271124982788;0.0003673938002296211;0.002701836332829601;0.008048197203826343;0.0037178133749483635;0.0045005740528128585;0.013646563172596968;2.498781527963933;2.732380177846498;2.79793329381872;2.8711402858219146;0.002694610778443114;0.0011924873298221207;0.0005924755603831342;0.0010838506256774067;9.98003992015968e-05;9.937394415184339e-05;0.0017774266811494026;0.0010838506256774067;0.007085828343313373;0.007552419755540098;0.004443566702873506;0.002561828751601143;1.5457207488383171;1.5077534175496503;1.3542304481727536;1.0371257647992216;2.392275835500337;2.6404333213800237;2.502393686979395;2.6618000145514515;-0.6024542952755131;-0.6683155564083246;-0.7042111782501971;-0.7669720701322271;2.9214139055517534;2.578594958577714;4.267338944211242;8.888883320881243;False;False;True
2022-05-03;0.027731788079470198;0.4859038142620232;-0.06639049006931802;0.49999999999999994;-0.8660254037844387;0.5712682150947923;0.8207634412072763;0.7818314824680298;0.6234898018587336;1;-1;1;-1;0.0036591014358499305;0.0012947976878612717;0.00018533104758374646;0.00046159527326440175;0.00041685965724872626;0.00036994219653179193;0.002270305332900894;0.003092688330871492;0.005697081982399259;0.003653179190751445;0.006115924570263633;0.00507754800590842;2.60454851607171;2.8981166453905893;2.898021678162662;2.86710449662093;0.0021632251720747294;0.003050280429007183;0.00325155187703222;0.0023647650014779783;0.001671583087512291;0.0007871691429695956;0.0007882550004926594;0.0002955956251847473;0.004523107177974435;0.005214995572173571;0.004039806877524879;0.005813380628633363;2.073685520605691;1.8851521028003342;1.3612972767876805;1.7786789394420404;2.627374433745871;2.597938640520359;2.7792424427356686;2.767492966314349;-0.7872730857500638;-0.7436102099564247;-0.6749329201505471;-0.6507098370809241;2.2099009515749746;2.7278602791135906;5.596990235833175;4.5029358186359225;False;True;False
2022-05-04;0.011162575266327003;0.5518672199170125;-0.060369395435856156;0.49999999999999994;-0.8660254037844387;0.72479278722912;0.6889669190756866;0.9749279121818236;-0.22252093395631434;-1;-1;-1;-1;0.0011113169105389886;0.00023264470500651406;0.0004663309084126096;0.00046781437125748503;0.0006482681978144101;0.00018611576400521124;0.0002331654542063048;0.0005145958083832336;0.006575291720689017;0.00265214963707426;0.0038705465398246597;0.003929640718562874;2.6411608240611133;3.013400994123608;3.0518928969362547;3.0773455979627347;0.0002994011976047904;0.0004971661529283086;0.002577319587628866;0.0007919223916056226;0.000998003992015968;0.0038778959928408075;0.00019825535289452815;0.00019798059790140566;0.00499001996007984;0.00745749229392463;0.004163362410785091;0.004751534349633736;1.4434087097390145;1.9863878977524636;1.714058299261109;1.319266635889733;2.494570072340649;2.5118990850770277;2.740255780741026;2.5923930579320458;-0.11439478848404376;0.2070540487534186;0.2619484244660182;0.13230514305099308;2.7226113363877333;2.054701144595696;3.8735199390993733;4.676227761496887;False;False;True
2022-05-05;0.036210409335062047;0.7531969309462916;-0.046153038823827805;0.49999999999999994;-0.8660254037844387;0.8486442574947509;0.5289640103269624;0.43388373911755823;-0.900968867902419;-1;-1;-1;-1;0.00178800660187053;0.0013367135284627794;0.0007849293563579278;0.0004630058338735068;0.0009627727856225931;4.6093569946992393e-05;0.00018468926031951243;0.0010649134179090657;0.008114799193104713;0.003042175616501498;0.0037861298365500047;0.0101398277618298;2.576793197692074;2.83200386942259;3.160574376482697;3.3441016347016497;0.0008016835354243912;0.0016994901529541137;0.0015936254980079682;0.0014952153110047847;0.0036075759094097606;0.0016994901529541137;0.0026892430278884463;0.004186602870813397;0.0068143100511073255;0.007097870638808358;0.005079681274900398;0.006778309409888357;1.7729582678155311;1.511048595729005;1.392438203564475;1.6907966781114891;2.5345765600419505;2.4666118104048986;2.756364736556413;2.6425667728245092;-0.9367805889708335;-0.9250048954090001;-0.9227390148756675;-0.9203805200934115;2.1944475334583307;2.1819913987155175;4.064538727756399;4.831768524567975;False;False;True
2022-05-06;0.03841921877865395;0.25894988066825775;-0.06654648580913228;0.49999999999999994;-0.8660254037844387;0.9377521321470804;0.3473052528448203;-0.433883739117558;-0.9009688679024191;1;-1;1;-1;0.0026377767310409796;0.006554307116104869;0.0020188741255458002;0.0009838369641602248;0.0009420631182289214;0.002949438202247191;0.0019719235644865955;0.002201920824549075;0.009844559585492229;0.012359550561797753;0.00615052349875581;0.016537830873740923;2.5275980643707046;2.437336227477361;2.551736999147485;2.6351607135890527;0.00039502271380604387;0.0010800196367206677;0.002733307301835221;0.0033109358262732496;0.0013825794983211535;0.009327442317133039;0.001757126122608356;0.001460706982179375;0.007702942919217855;0.016200294550810016;0.007028504490433424;0.004966403739409875;1.4451183743346367;2.967875012587121;1.7191213349628431;1.3974369212530866;2.266736416768887;2.577848913619909;2.6986064636950746;2.5430863458873914;-0.9319016513950854;-0.9125088231690084;-0.8627192466886918;-0.8444866597018379;3.3553209166409355;2.4639981634225934;3.4212133659564588;6.063847965997282;True;False;False
2022-05-09;0.02322185586434291;-0.11156186612576065;-0.07366932231295373;0.49999999999999994;-0.8660254037844387;0.9680771188662043;-0.2506525322587204;0.0;1.0;-1;1;1;-1;0.0017177211565989122;0.002013519344167985;0.002967359050445104;0.002717650424334891;0.000572573718866304;0.00023970468382952204;0.00023930314922944386;0.0014780204062172213;0.006966313579540032;0.003979097751570066;0.007083373217191539;0.008295985505864403;2.5420541683777134;2.651573555052812;2.7656640722130734;2.8109940302651673;0.002702702702702703;0.00048416771569671736;0.0;0.0011618900077459333;0.00028957528957528956;0.0015493366902294954;0.002902757619738752;0.0013555383423702555;0.006177606177606178;0.002711339207901617;0.003580067731011127;0.005906274206041828;1.8611028622921055;1.1638982628626762;1.0776594174956875;1.6254277949714877;2.345265325430615;2.31211325135062;2.5691581202804183;2.531568078380528;-0.6196997130702138;-0.7496768182466893;-0.8467357696756542;-0.9010838803796647;2.2474982736486404;2.778419493044939;4.773145374163981;5.345249157858055;False;False;True
