datetime;label;cluster;retorno_total;pavio_contra
2023-08-16;Lateral;1;0.00585238516272999;0.0010104837691044587
2023-08-17;Lateral;1;-0.005240912933220625;0.0019442096365173288
2023-08-18;Lateral;1;0.0017902813299232737;0.0018329070758738278
2023-08-21;Lateral;1;-0.0033327636301486926;0.0009827379935053837
2023-08-22;Lateral;1;0.0014052718988204233;0.0017033598773580887
2023-08-23;Lateral;1;0.0014668901927912825;0.001341156747694887
2023-08-24;Lateral;1;-0.006661115736885929;0.00020815986677768527
2023-08-25;Lateral;1;-0.006551971932197658;0.0017753730396922686
2023-08-28;Lateral;1;-0.000932124396237607;0.001991356664689433
2023-08-29;Lateral;1;0.005949139050651473;0.00020947672713561523
2023-08-30;Lateral;1;-0.0018740629685157421;0.0016658337497917708
2023-08-31;Lateral;1;-0.003499599443437197;4.216384871611081e-05
2023-09-01;Lateral;1;0.0014698471358978666;0.0025197379472534855
2023-09-04;Lateral;1;-0.001166618057580934;0.0010832881963251531
2023-09-05;Lateral;1;0.0023140356782228207;0.0006311006395153147
2023-09-06;Venda;7;-0.01030884633114026;8.38117587897582e-05
2023-09-08;Lateral;1;0.0013313291818767446;0.00012883830792355595
2023-09-11;Lateral;1;0.002049092849519744;8.537886872998933e-05
2023-09-12;Lateral;1;0.0009650484622162548;0.0007132966894641883
2023-09-13;Lateral;1;0.003288104553400483;0.0035794555897777406
2023-09-14;Lateral;1;0.0021618026107923837;0.0029101188991435935
2023-09-15;Lateral;1;0.0017049943859940948;0.00012475568678005573
2023-09-18;Lateral;1;0.0061031686313853355;0.0011704706964300643
2023-09-19;Lateral;1;0.0007558261599832039;0.0013017006088599623
2023-09-20;Lateral;1;0.003130086390384375;0.000333875881641
2023-09-21;Lateral;1;0.0034163214758508777;0.00034163214758508773
2023-09-22;Lateral;1;0.0005109209349853111;0.001873376761612807
2023-09-25;Lateral;1;-0.0029981154702758265;0.0005567928730512249
2023-09-26;Lateral;1;0.0004311645755184754;0.003837364722114431
2023-09-27;Lateral;1;-0.0030729279376758276;0.0007357714780350574
2023-09-28;Lateral;1;0.005072840790842872;0.0006070065903572668
2023-09-29;Lateral;1;-0.0018322822566899607;0.0002556672916311573
2023-10-02;Lateral;1;-0.004601754687768794;0.0016342680199552726
2023-10-03;Lateral;1;-0.005764313266588653;4.334070125254627e-05
2023-10-04;Lateral;1;0.001759014951627089;0.0024626209322779246
2023-10-05;Venda;7;-0.011253598534415075;8.723719794120213e-05
2023-10-06;Lateral;1;0.004098908442860325;0.0032523947427043885
2023-10-09;Lateral;1;0.0009217803529101923;0.0021069265209375824
2023-10-10;Lateral;1;0.0018872780303680191;4.289268250836407e-05
2023-10-11;Lateral;1;0.0011140629017053732;0.00029994001199760045
2023-10-13;Lateral;1;-0.0033718895386060013;0.0
2023-10-16;Lateral;1;0.002448032984023364;0.002791616560728397
2023-10-17;Lateral;1;0.007814523788964684;0.0005612641395388999
2023-10-18;Lateral;1;-0.004025523532182776;0.0017986381739540063
2023-10-19;Lateral;1;-0.0013782410198983548;0.0017228012748729434
2023-10-20;Lateral;1;-0.008192457737321196;0.0003901170351105332
2023-10-23;Lateral;1;0.0024459488971391133;0.0011792967896920724
2023-10-24;Lateral;1;-0.002592352559948153;0.0011665586519766689
2023-10-25;Lateral;1;-0.0012164393083673648;4.344426101312017e-05
2023-10-26;Lateral;1;0.004043126684636119;0.0018259281801582471
2023-10-27;Lateral;1;-0.0008598452278589854;0.0021926053310404128
2023-10-30;Lateral;1;-0.003077456547180443;0.000563477959342898
2023-10-31;Lateral;1;0.004030844724851034;0.0013144058885383807
2023-11-01;Lateral;1;0.003977862331373227;8.647526807333103e-05
2023-11-03;Lateral;1;-0.002305306396177383;0.0020957330874339843
2023-11-06;Lateral;1;-0.0010439285117755136;0.0014197427760146986
2023-11-07;Lateral;1;0.0008735077575807995;0.003244457385300112
2023-11-08;Lateral;1;-0.002109355612540326;0.0028951939779965257
2023-11-09;Lateral;1;0.006674681812528502;0.00012437295302848142
2023-11-10;Lateral;1;0.0012793000990425883;0.0009491581379993397
2023-11-13;Lateral;1;-0.0031323414252153485;0.0010303754688208383
2023-11-14;Lateral;1;0.0063175798809379175;0.0009314380593690519
2023-11-16;Lateral;1;-0.002717391304347826;0.0009191176470588235
2023-11-17;Lateral;1;0.0010339205471825664;0.001630413170557124
2023-11-20;Lateral;1;0.0025357581520662467;0.001465985181663299
2023-11-21;Lateral;1;3.952881650723377e-05;0.000869633963159143
2023-11-22;Lateral;1;-0.0013720647614567409;0.0014504684621114117
2023-11-23;Lateral;1;0.00366242665301461;0.000433190249281298
2023-11-24;Lateral;1;0.0027695351137487635;0.0008308605341246291
2023-11-27;Lateral;1;0.00031714568880079284;0.001823587710604559
2023-11-28;Lateral;1;0.0049501029621416125;0.002376049421827974
2023-11-29;Lateral;1;0.000984251968503937;0.001220472440944882
2023-11-30;Lateral;1;-0.004195091351054654;7.84129224496197e-05
2023-12-01;Lateral;1;-3.925262992620505e-05;0.000745799968597896
2023-12-04;Lateral;1;-0.0006647116324535679;0.0025024437927663734
2023-12-05;Lateral;1;-0.003211781755512906;0.00039168070189181777
2023-12-06;Lateral;1;-0.0017301038062283738;0.002005347593582888
2023-12-07;Lateral;1;-0.003077651515151515;0.0009075126262626263
2023-12-08;Indefinido;-1;0.006148597723035424;0.0029751279305010115
2023-12-11;Lateral;1;-0.0010619469026548673;0.0008652900688298919
2023-12-12;Lateral;1;-0.003904401325130147;0.0017747278750591575
2023-12-13;Lateral;1;-0.0021288125096764203;0.0010063477318470351
2023-12-14;Lateral;1;-0.000225589352182577;0.0025190810993721098
2023-12-15;Lateral;1;-0.006528835690968444;0.00018761022100484035
2023-12-18;Lateral;1;3.764918489514702e-05;0.0020707051692330863
2023-12-19;Lateral;1;0.0003361093475744109;0.001045673525787056
2023-12-20;Lateral;1;-0.0054364015490020855;0.00011170688114387846
2023-12-21;Lateral;1;-0.0005608524957936063;0.0034398953075341185
2023-12-22;Lateral;1;-0.0021969838018990875;0.0006330292310556693
2023-12-26;Lateral;1;3.6971310263235726e-05;0.0021443359952676723
2023-12-27;Lateral;1;0.0009978195794375254;0.0008130381758379837
2023-12-28;Lateral;1;0.0005530157793835717;0.0012166347146438578
2024-01-02;Lateral;1;0.002928637627432808;0.0004077849860982391
2024-01-03;Lateral;1;0.002728461969725285;0.00011212857409829938
2024-01-04;Lateral;1;-0.0029571401834175555;0.00014972861688190156
2024-01-05;Lateral;1;0.0011652821110401082;0.0025936924407021764
2024-01-08;Lateral;1;0.0027907678382863175;0.0004525569467491326
2024-01-09;Lateral;1;-0.003232839636117585;0.0004886850612735884
2024-01-10;Lateral;1;-0.003058565872446475;0.000377600724993392
2024-01-11;Lateral;1;0.0011395145667945454;0.0006077411022904243
2024-01-12;Lateral;1;0.0009441444163299219;0.0010952075229427093
2024-01-15;Lateral;1;0.0004936208991494532;0.0011391251518833535
2024-01-16;Lateral;1;-0.0037327645311190675;0.0022472766054696426
2024-01-17;Lateral;1;0.0010797470306956657;0.0010411846367422489
2024-01-18;Lateral;1;-0.0017815646785437646;0.001975213013168087
2024-01-19;Lateral;1;-0.0047936396585993215;7.7945360302428e-05
2024-01-22;Indefinido;-1;0.0007397889654635362;0.005723630417007359
2024-01-23;Lateral;1;-0.0017150652894172675;0.0007405963749756383
2024-01-24;Lateral;1;-0.0056934025774187345;0.0010771302173494903
2024-01-25;Lateral;1;0.0031821180488183476;0.0017462842950832396
2024-01-26;Lateral;1;0.0025625097064761607;0.0028731169436247866
2024-01-29;Lateral;1;-0.004482572068938867;0.0006182858026122575
2024-01-30;Lateral;1;-0.000429000429000429;0.000741000741000741
2024-01-31;Lateral;1;0.0020191038285314903;0.0008930651549273899
2024-02-01;Lateral;1;0.0003117692907248636;0.0016367887763055339
2024-02-02;Lateral;1;-0.0018032851150574308;0.0017248814144027599
2024-02-05;Lateral;1;-0.0036721618876474726;0.000664114383936245
2024-02-06;Lateral;1;0.0017349732043027335;0.0029301769672668387
2024-02-07;Lateral;1;0.000846642293630941;0.0021550894746969404
2024-02-08;Lateral;1;-0.0075474604335939;0.0002695521583426393
2024-02-09;Lateral;1;-0.0030667701863354036;0.0002329192546583851
2024-02-15;Lateral;1;0.0005801361386138614;0.002281868811881188
2024-02-16;Lateral;1;0.0003075858356722673;0.0005382752124264678
2024-02-19;Lateral;1;0.0014586772100879046;0.0010364285440098268
2024-02-20;Lateral;1;0.0038512869399428026;0.0003431839847473785
2024-02-21;Lateral;1;0.0009499202067026369;0.00041796489094916026
2024-02-22;Lateral;1;-0.0018122781847013517;0.0008306275013214528
2024-02-23;Lateral;1;-0.003861150017034485;0.0
2024-02-26;Lateral;1;-0.0014043877628482503;0.0001897821301146284
2024-02-27;Lateral;1;0.0018081139111764042;0.0007910498361396768
2024-02-28;Lateral;1;-0.0022964273613673156;0.000263524451304446
2024-02-29;Lateral;1;-0.0014882655981682885;0.0007250524709024995
2024-03-01;Lateral;1;-0.0038614467043890503;0.001835142988224499
2024-03-04;Lateral;1;-0.004594532506317482;0.00030630216708783217
2024-03-05;Lateral;1;0.0;0.000693134121452501
2024-03-06;Lateral;1;-0.0014943101268247827;0.0004981033756082608
2024-03-07;Lateral;1;-0.004495159059474412;0.00034578146611341634
2024-03-08;Lateral;1;0.0009000900090009;0.0010174930536531914
2024-03-11;Lateral;1;0.004744167810233287;0.0005097039796118408
2024-03-12;Lateral;1;0.001092896174863388;0.002302888368462139
2024-03-13;Lateral;1;-0.0027042688815916553;0.0006567510141008305
2024-03-14;Lateral;1;0.002642521276182334;0.00031088485602145103
2024-03-15;Lateral;1;-0.0029611158731395622;0.00031169640769890126
