;range_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;pavio_superior_c1;pavio_superior_c2;pavio_superior_c3;pavio_superior_c4;pavio_superior_c5;pavio_superior_c6;pavio_superior_c7;pavio_inferior_c1;pavio_inferior_c2;pavio_inferior_c3;pavio_inferior_c4;pavio_inferior_c5;pavio_inferior_c6;pavio_inferior_c7;range_candle_c1;range_candle_c2;range_candle_c3;range_candle_c4;range_candle_c5;range_candle_c6;range_candle_c7;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;tamanho_medio_ordem_c3;tamanho_medio_ordem_c4;tamanho_medio_ordem_c5;tamanho_medio_ordem_c6;tamanho_medio_ordem_c7;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;correlacao_movel_WIN_WDO_c3;correlacao_movel_WIN_WDO_c4;correlacao_movel_WIN_WDO_c5;correlacao_movel_WIN_WDO_c6;correlacao_movel_WIN_WDO_c7;label_binario
2023-06-26;0.010628618693134822;0.5058365758754864;0.03561422171613503;1.2246467991473532e-16;-1.0;-0.743144825477394;0.6691306063588585;0.0;1.0;0.0016121031746031745;0.002399768298233274;0.00037248572138068043;0.000458104281192737;0.0004996252810392206;0.0002085070892410342;0.0013322786127648945;0.0005373677248677248;0.004592660019032645;0.0012416190712689348;0.0025820423121772447;0.003372470647014739;0.000250208507089241;0.0007077730130313502;0.0031001984126984125;0.007240680210186603;0.007863587451369919;0.003248375812093953;0.005412607211258223;0.002085070892410342;0.005120945917815063;2.758385058758638;3.0577259310520146;3.2331762604330283;3.4437321133162833;3.463543657563591;3.6092047712270845;3.5915816854984413;-0.5206434991270814;-0.4348620049238085;-0.39633951370552856;-0.2693273710007039;-0.13502316552857102;0.10958934163199227;0.37501769997445566;0
2023-06-27;0.013682208994708995;0.6858006042296072;0.029117889811404455;1.2246467991473532e-16;-1.0;-0.5877852522924734;0.8090169943749473;0.7818314824680298;0.6234898018587336;0.002445393128030837;0.0011560216341191527;0.0016292087893725457;0.0003360497353608334;0.0007163021952555514;0.001302247427011132;0.0002096611875209661;0.00016578936461226012;0.001114735147186326;0.0009190408555434874;0.0010081492060825003;0.000842708465006531;0.0010501995379122034;0.0012160348876216036;0.00650723256103121;0.01391354609636266;0.008062494778176957;0.004410652776610938;0.0046348965575359205;0.004158790170132325;0.0024740020127474002;2.75589894515912;3.0233561211040754;3.2128820740082094;3.3896346618243025;3.436657349758697;3.5907551782469413;3.577086758233017;0.3189846499313423;0.13867056104846684;-0.14779033684387688;-0.37149394721157397;-0.4488074232636152;-0.5038830430919525;-0.5823756914389889;1
2023-06-28;0.023666431798400132;0.38704028021015763;0.016997413945146738;1.2246467991473532e-16;-1.0;-0.40673664307580015;0.913545457642601;0.9749279121818236;-0.22252093395631434;0.000961136648558295;0.004483177609251267;0.0010472520107238606;0.0036427584474312273;0.0013805220883534137;0.0008793969849246232;0.0008841732979664014;0.0033848725449226913;0.0032262119244144635;0.0020945040214477213;0.0010886404555541598;0.0007530120481927711;0.0006700167504187605;0.0008841732979664014;0.006978687839531968;0.007918883814471865;0.003560656836461126;0.005568814638027049;0.0030957161981258366;0.006993299832495812;0.0037051071533830155;2.9232279227917015;3.033387780678851;3.166209540370707;3.3421937004539135;3.4337387964148527;3.355349262212007;3.5455063826656366;-0.5631588304386238;-0.5826443675823824;-0.5820859403482583;-0.5933191001196396;-0.6070542252413;-0.6823109248807049;-0.6804550335903125;0
2023-06-29;0.012536564981195153;0.44333333333333336;0.008485536066174058;1.2246467991473532e-16;-1.0;-0.20791169081775898;0.9781476007338057;0.43388373911755823;-0.900968867902419;0.0007975485874994753;0.0015537079029142521;0.0007107023411371238;4.184450581638631e-05;0.00012474012474012475;4.165104752384522e-05;0.0019161876197617263;0.005834697561180372;0.0025195263290501385;0.0025501672240802677;0.0;0.000498960498960499;0.001666041900953809;0.0009580938098808631;0.007010032321705915;0.008524397413286302;0.004138795986622074;0.0063603648840907185;0.0023284823284823284;0.00183264609104919;0.0034991252186953262;2.83432101287729;3.1643975029001843;3.2624545110067276;3.3388964481506784;3.356362654945733;3.3597530880232753;3.4523245194398537;-0.6925838337656143;-0.6421563778744316;-0.5847079388461391;-0.4471726662572557;-0.2910606125753636;-0.1730725213914443;0.27247238346149383;1
2023-06-30;0.020190572136170926;1.0332640332640333;0.018104931524735544;1.2246467991473532e-16;-1.0;-1.133107779529596e-15;1.0;-0.433883739117558;-0.9009688679024191;0.0016548072149594572;0.0012772444481067942;0.002850650692005784;0.0012813623775472245;0.001198792939522963;0.00012399256044637322;0.0009132799202955706;0.0023581002813172266;0.0028428989328828642;0.0030985333608758523;0.0034307444302070847;0.0015708321276507791;0.0033064682785699526;0.0009132799202955706;0.008067185172927354;0.006798236578632937;0.006403635612476761;0.004794775348241227;0.0028936381298830145;0.007770200454639388;0.004566399601477853;2.732067815870157;2.940743683037015;3.253096466377619;3.454256633407825;3.5113364564844183;3.545269956762572;3.588573065998236;0.27594547071541164;0.20112612786045633;0.15585354253284228;0.007448359119484208;-0.16916614538910582;-0.3035828163250818;-0.33692951473201077;0
2023-07-03;0.0173754757570743;0.25476190476190474;0.007371523084285558;-0.4999999999999997;-0.8660254037844388;0.5712682150947923;0.8207634412072763;0.0;1.0;0.0013335000208359378;0.0024896265560165973;0.001197011598629628;0.0011941527691990942;0.00032919101308534276;0.0014395590836178177;0.000577105404179892;0.000708421886069092;0.001908713692946058;0.0002476575721302679;0.0012765081325921352;0.0009875730392560284;0.00012339077859581293;8.2443629168556e-05;0.006375796974621828;0.00970954356846473;0.0038799686300408634;0.003211859172328598;0.0018105505719693852;0.0037839838769382636;0.002184756172966734;2.725599318160478;3.2037619004533986;3.287045532613259;3.4655297777444622;3.5000131509731722;3.2447228761821156;3.1305962633839015;-0.23981154793825307;-0.31587673509836056;-0.3800049701336637;-0.44252998073593575;-0.46370508862101106;-0.4679247346650746;-0.4517483638950399;1
2023-07-04;0.015335250239613286;0.8369565217391305;0.01598775192631077;-0.4999999999999997;-0.8660254037844388;0.72479278722912;0.6889669190756866;0.7818314824680298;0.6234898018587336;0.0012351778656126482;0.001321276683595524;0.003636213379612413;0.0014055975856794411;0.0009903850121734824;0.0003712411830219032;0.0005383468610236872;0.00012351778656126481;0.0024361038853792476;0.0015701830502871782;4.134110546116003e-05;0.0008665868856517972;0.0007012333457080395;0.002111976147092927;0.004199604743083004;0.004459308807134894;0.005702243708937647;0.0032659473314316425;0.0022283662773903354;0.00499113146062781;0.0039340732151730996;2.711143096788891;3.1275733265934513;3.3175593517651047;3.4796348025522654;3.428424229580316;3.183953543422697;3.158835266303213;-0.2643784476153005;-0.1847363843233736;-0.06906201495812779;0.13053073509810925;0.20259531934624989;0.18663538621785686;0.1219495241511451;0
2023-07-05;0.009099143610013176;-0.10407239819004525;0.003733669106441882;-0.4999999999999997;-0.8660254037844388;0.8486442574947509;0.5289640103269624;0.9749279121818236;-0.22252093395631434;0.00270000830771787;0.00199700449326011;0.00397597846344999;0.0008674459911603122;0.0009498637152060792;0.0004941118339784237;0.0018890394644983778;0.003738473041455512;0.0007072724246962889;0.0005798301925864568;0.0021066545499607583;0.0011563558272074006;0.0005352878201432924;0.0006981232803580962;0.008016947744454599;0.007239141288067898;0.0072064609650031065;0.003180635300921145;0.00507970595523251;0.00366466276867331;0.00521539156502813;2.6924007667992447;3.1493939526207018;3.4865195946600114;3.500063994510088;3.478073291033066;3.574107486501338;3.7097680334119865;-0.06270818501105413;-0.09464577155360995;-0.10278093707230113;-0.09688185055404136;-0.13042373279803687;-0.32461728354398506;-0.42237436068903483;0
2023-07-06;0.018733903796627066;0.5631929046563193;0.006523687619966602;-0.4999999999999997;-0.8660254037844388;0.9377521321470804;0.3473052528448203;0.43388373911755823;-0.900968867902419;4.132231404958678e-05;0.0025791422272141104;0.0005019870320016733;0.0016832891469932248;0.00168215652466462;0.0012179244886817017;0.0016366612111292963;0.0016115702479338842;0.000166396272723491;0.00033465802133444885;0.000883726802171443;0.0020606417427141595;8.399479232287598e-05;0.00016786268832095347;0.008305785123966942;0.00831981363617455;0.006776824932022589;0.003198249379287127;0.00504646957399386;0.0020578724119104616;0.0026018716689747787;2.628053053602103;3.0884810030330936;3.3374784136584044;3.4037963761863677;3.416715629671808;3.447262860991011;3.6215893874585956;-0.5028284328668391;-0.5638056705860084;-0.68066498127005;-0.7591486925164025;-0.7964455706412956;-0.8122514752182529;-0.850346803882257;0
2023-07-07;0.019462809917355373;0.3970276008492569;-0.006513304920702174;-0.4999999999999997;-0.8660254037844388;0.9884683243281114;0.1514277775045767;-0.433883739117558;-0.9009688679024191;0.005268219258268178;0.003098049066398727;0.0054465325128887415;0.0001662579492081965;0.0010772290354656945;0.0011583650504716201;0.0015705724323207275;0.0018396956139984113;0.0019258142845181277;0.0010809911857641776;0.000332515898416393;0.0009115014915478953;0.0004137018037398643;0.0004959702417854929;0.00840406405485638;0.011973540986351838;0.00681855978712789;0.0036992393698823726;0.003438846536294332;0.0025235810028131724;0.0024798512089274642;2.619383209692788;3.138805227885519;3.3300265106723432;3.3606791264223532;3.49946501957542;3.5086091899768097;3.532165421212657;-0.9087690202395926;-0.9077984831178566;-0.9082571179818834;-0.9116259328957276;-0.9161254151609766;-0.9197836208649779;-0.94576872523082;0
