<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.06	12:30:00	118115	118120	117645	117660	218954	762058	5
2022.10.06	13:00:00	117665	118180	117600	118145	232834	776195	5
2022.10.06	13:30:00	118145	118335	118045	118085	189287	628985	5
2022.10.06	14:00:00	118090	118150	117805	117945	200864	661723	5
2022.10.06	14:30:00	117945	117970	117700	117920	189458	643526	5
2022.10.06	15:00:00	117920	117960	117610	117875	223551	782048	5
2022.10.06	15:30:00	117875	117970	117510	117635	236643	876620	5
2022.10.06	16:00:00	117635	117860	117375	117825	255453	931498	5
2022.10.06	16:30:00	117825	118015	117725	117905	195368	746581	5
2022.10.06	17:00:00	117910	117950	117610	117650	101774	364269	5
2022.10.06	17:30:00	117650	117660	117215	117300	66823	226977	5
2022.10.07	09:00:00	117550	118190	117185	118065	296583	721358	5
2022.10.07	09:30:00	118075	118100	116985	117410	571470	1485439	5
2022.10.07	10:00:00	117415	117780	117265	117570	488688	1387100	5
2022.10.07	10:30:00	117570	118150	117320	117740	585530	1729122	5
2022.10.07	11:00:00	117740	117785	117090	117380	424847	1365757	5
2022.10.07	11:30:00	117385	117820	117235	117615	321084	996138	5
2022.10.07	12:00:00	117615	117835	117465	117780	243785	771087	5
2022.10.07	12:30:00	117780	117820	117425	117660	197588	643282	5
2022.10.07	13:00:00	117660	117815	117450	117620	206720	706449	5
2022.10.07	13:30:00	117615	117640	117390	117575	172999	601654	5
2022.10.07	14:00:00	117575	117585	117305	117360	162254	559352	5
2022.10.07	14:30:00	117355	117470	116555	116605	248398	892290	5
2022.10.07	15:00:00	116600	116880	116445	116545	269385	977234	5
2022.10.07	15:30:00	116540	116800	116355	116770	218569	758887	5
2022.10.07	16:00:00	116765	116940	116050	116160	235817	817994	5
2022.10.07	16:30:00	116160	116590	116095	116565	219242	770046	5
2022.10.07	17:00:00	116560	117185	116490	117065	140962	449288	5
2022.10.07	17:30:00	117065	117250	116955	117250	60668	181537	5
2022.10.10	09:00:00	116960	117100	116685	117025	301837	761900	5
2022.10.10	09:30:00	117020	117305	116835	117295	312968	855648	5
2022.10.10	10:00:00	117295	117400	116530	116815	483553	1286446	5
2022.10.10	10:30:00	116820	116890	116260	116270	565111	1611255	5
2022.10.10	11:00:00	116265	116440	116085	116230	353932	1082540	5
2022.10.10	11:30:00	116230	116345	115795	116010	348471	1104258	5
2022.10.10	12:00:00	116010	116060	115730	115900	238326	746762	5
2022.10.10	12:30:00	115900	116085	115800	115940	193908	616263	5
2022.10.10	13:00:00	115940	116000	115565	115635	195067	638748	5
2022.10.10	13:30:00	115630	115885	115555	115780	202461	711601	5
2022.10.10	14:00:00	115775	115835	115615	115715	179085	623714	5
2022.10.10	14:30:00	115715	116210	115705	116040	242405	823799	5
2022.10.10	15:00:00	116035	116050	115460	115580	252636	885189	5
2022.10.10	15:30:00	115580	115755	115375	115535	247224	873197	5
2022.10.10	16:00:00	115535	115925	115520	115725	240865	885657	5
2022.10.10	16:30:00	115720	116270	115675	116015	241000	880331	5
2022.10.10	17:00:00	116010	116165	115945	116125	119788	397825	5
2022.10.10	17:30:00	116125	116190	115950	116100	67434	211414	5
2022.10.11	09:00:00	115410	115970	115270	115945	305251	790165	5
2022.10.11	09:30:00	115945	116010	115395	115400	333124	1002429	5
2022.10.11	10:00:00	115395	115765	115290	115535	467063	1369422	5
2022.10.11	10:30:00	115530	115820	115175	115215	649986	2013351	5
2022.10.11	11:00:00	115215	115260	114805	115000	452007	1448520	5
2022.10.11	11:30:00	115000	115575	114860	115215	401432	1265015	5
2022.10.11	12:00:00	115210	115635	115160	115545	318169	1018202	5
2022.10.11	12:30:00	115545	115780	115475	115625	233903	755286	5
2022.10.11	13:00:00	115625	115865	115360	115630	242035	818123	5
2022.10.11	13:30:00	115625	115920	115500	115645	234530	789146	5
2022.10.11	14:00:00	115640	115915	115530	115770	213999	725294	5
2022.10.11	14:30:00	115775	115975	115625	115730	212821	726680	5
2022.10.11	15:00:00	115730	115765	115425	115565	219594	761296	5
2022.10.11	15:30:00	115565	115660	114810	114870	340215	1271759	5
2022.10.11	16:00:00	114865	114965	114315	114725	331379	1142622	5
2022.10.11	16:30:00	114720	114985	114670	114845	212599	738848	5
2022.10.11	17:00:00	114840	114920	114430	114525	114665	365432	5
2022.10.11	17:30:00	114525	114760	114460	114650	69388	213119	5
2022.10.13	09:00:00	117550	118080	117530	117815	277129	684994	5
2022.10.13	09:30:00	117810	117820	115115	115385	488850	1338421	5
2022.10.13	10:00:00	115390	115495	114810	115160	391679	1104105	5
2022.10.13	10:30:00	115160	115655	115025	115505	467250	1471324	5
2022.10.13	11:00:00	115505	115675	114965	115150	376653	1237512	5
2022.10.13	11:30:00	115150	115735	115075	115555	319019	1059331	5
2022.10.13	12:00:00	115560	116370	115445	116360	393954	1356178	5
2022.10.13	12:30:00	116360	117040	116270	116985	328154	1159802	5
2022.10.13	13:00:00	116985	117145	116710	117075	259281	925173	5
2022.10.13	13:30:00	117080	117270	117000	117165	180320	647057	5
2022.10.13	14:00:00	117165	117630	117150	117575	183556	702525	5
2022.10.13	14:30:00	117575	117700	117360	117465	170738	623004	5
2022.10.13	15:00:00	117460	117460	116845	116940	206782	772135	5
2022.10.13	15:30:00	116940	117190	116930	117170	150754	607324	5
2022.10.13	16:00:00	117165	117210	116795	116795	191547	790706	5
2022.10.13	16:30:00	116790	116890	116500	116520	202613	769015	5
2022.10.13	17:00:00	116525	116660	116305	116595	150220	520009	5
2022.10.13	17:30:00	116595	116650	115855	116030	83830	272157	5
2022.10.14	09:00:00	116525	116575	115970	116185	339360	889723	5
2022.10.14	09:30:00	116170	116815	115955	116710	443911	1362497	5
2022.10.14	10:00:00	116710	116910	116450	116795	453289	1428676	5
2022.10.14	10:30:00	116800	116930	116120	116670	594875	1992074	5
2022.10.14	11:00:00	116675	116825	115970	116235	576780	1831302	5
2022.10.14	11:30:00	116240	116335	115375	115855	443928	1400737	5
2022.10.14	12:00:00	115855	116005	115260	115880	304290	983782	5
2022.10.14	12:30:00	115885	116035	115160	115285	253250	923826	5
2022.10.14	13:00:00	115285	115480	115010	115235	253659	838328	5
2022.10.14	13:30:00	115240	115950	115215	115775	270846	1016553	5
2022.10.14	14:00:00	115780	115930	115350	115910	235957	729575	5
2022.10.14	14:30:00	115905	116165	115795	116025	241040	768077	5
2022.10.14	15:00:00	116030	116035	115245	115500	270367	877390	5
2022.10.14	15:30:00	115495	115605	114685	114770	250371	823213	5
2022.10.14	16:00:00	114770	114985	113675	114045	337364	1147593	5
2022.10.14	16:30:00	114045	114200	113690	113810	213152	730281	5
2022.10.14	17:00:00	113810	114315	113755	114120	168074	516329	5
2022.10.14	17:30:00	114115	114155	113700	113830	85972	247306	5
2022.10.17	09:00:00	115000	115200	114725	114865	288295	788264	5
2022.10.17	09:30:00	114865	114945	114650	114800	271459	840601	5
2022.10.17	10:00:00	114805	114925	114425	114805	457963	1416941	5
2022.10.17	10:30:00	114805	115425	114710	115215	518713	1667863	5
2022.10.17	11:00:00	115210	115480	115000	115470	367688	1194131	5
2022.10.17	11:30:00	115470	115790	115400	115735	354008	1136584	5
2022.10.17	12:00:00	115740	116250	115725	116150	269175	919781	5
2022.10.17	12:30:00	116150	116445	116050	116395	198537	658658	5
2022.10.17	13:00:00	116395	116515	116275	116325	186540	646364	5
