;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mov_direcional_c1;pavio_superior_c1;pavio_inferior_c1;range_candle_c1;volume_real_norm_c1;tamanho_medio_ordem_c1;diferenca_MA_c1;mov_direcional_c2;pavio_superior_c2;pavio_inferior_c2;range_candle_c2;volume_real_norm_c2;tamanho_medio_ordem_c2;diferenca_MA_c2;label_Compra;label_Lateral;label_Venda
2021-05-06;-0.0001666041900953809;0.014616680707666386;1723.2142857142858;0.8962536023054755;0.001011227755595634;0.49999999999999994;-0.8660254037844387;0.9377521321470804;0.3473052528448203;0.43388373911755823;-0.900968867902419;1.0;0.0009581337221412205;0.0018746094563632577;0.003832534888564882;0.8939829618201115;3.2507065376956583;0.0018449928558546503;-1.0;0.0014149569270464856;0.0010404095051812392;0.005576594947771443;1.9185495363680856;3.720805191668679;0.0004592134925273441;False;True;False
2021-05-07;0.0020767569363681674;0.009164757342220371;1706.0714285714287;1.190909090909091;0.00505736400523233;0.49999999999999994;-0.8660254037844387;0.9884683243281114;0.1514277775045767;-0.433883739117558;-0.9009688679024191;1.0;0.00145071706872254;0.0020724529553179144;0.005139683329188427;0.854306990789053;3.074015199355443;0.003825551187438308;1.0;4.138216428719222e-05;0.0023587833643699567;0.006041795985930064;1.6285749838255472;3.6883603182893485;0.005424300315653869;True;False;False
2021-05-10;-0.0008986561006494833;0.0192738124844566;1783.5714285714287;0.8236559139784946;0.017169068645084558;0.49999999999999994;-0.8660254037844387;0.8978045395707416;-0.4403941515576344;0.0;1.0;1.0;0.0010221186475326057;0.0;0.005928288155689112;0.9757662343789085;3.080575765393101;0.0066904448693780785;-1.0;0.0012205541315757353;0.00044753651491110297;0.005207697628056471;1.5620249759470706;3.7183789063287196;0.005847714446440548;False;False;True
2021-05-11;-0.007446808510638298;0.008176949180260846;1753.2142857142858;-0.755;0.006967578035006009;0.49999999999999994;-0.8660254037844387;0.7907757369376989;-0.6121059825476626;0.7818314824680298;0.6234898018587336;-1.0;0.0021436227224008574;0.0008244702778464837;0.006265974111633275;1.0135117215509921;3.168776634483619;-0.003906214097296873;1.0;0.00012407974191413682;0.00351559268756721;0.011994375051699892;2.0741089412684084;3.793793731866316;-0.004156412359857847;False;True;False
2021-05-12;-0.0016672088484059858;0.02296149723802457;1844.2857142857142;0.822262118491921;0.0173375434060151;0.49999999999999994;-0.8660254037844387;0.6513724827222223;-0.758758122692791;0.9749279121818236;-0.22252093395631434;-1.0;0.0011404830760457822;0.00443973768889251;0.010753126145574518;1.5636382015458135;3.356262589986169;0.0026385704407322222;-1.0;0.00020471667212577794;0.0006960366852276449;0.0052407468064199145;1.725190481329124;3.500460404623273;-0.0011925322806151822;False;False;True
2021-05-13;0.0017514595496246873;0.026434768441204026;1948.9285714285713;0.14175654853620956;-0.0049499823954601;0.49999999999999994;-0.8660254037844387;0.48530196253108104;-0.8743466161445821;0.43388373911755823;-0.900968867902419;1.0;0.000499542086420781;0.0023311964032969776;0.004912163849804346;1.098716161446997;3.205527838820587;-0.005294302278350108;1.0;0.0005400465270854104;0.001537055500166168;0.010011631771352609;1.8576487823410173;3.760589979097435;-0.0007556086771353214;False;True;False
2021-05-14;0.004505249235347607;0.015777204229456332;2008.9285714285713;0.8891820580474934;0.006629264443657465;0.49999999999999994;-0.8660254037844387;0.29936312297335804;-0.9541392564000488;-0.433883739117558;-0.9009688679024191;1.0;0.0018104760729128091;0.0;0.006418960622145414;1.0390726962250547;3.39574360595917;0.0015427674243975301;1.0;0.002785173049354905;0.0014335449518738481;0.004710219127585501;1.5609724615323914;3.8985557088618177;0.0037708728501704017;False;False;True
2021-05-17;-0.0034876087313310358;0.010615973336625109;2001.7857142857142;0.1937984496124031;0.005712440033872968;0.49999999999999994;-0.8660254037844387;-0.2993631229733582;-0.9541392564000488;0.0;1.0;1.0;0.0008646601062296702;0.0008234858154568288;0.002841026063326059;0.703538298946634;3.109786254505703;0.0001782164644595642;1.0;0.001974090067859346;0.00024676125848241827;0.008019740900678593;1.598636355956458;3.585408039501353;0.0004134409188384202;True;False;False
2021-05-18;0.004389887001056825;0.016757936344546465;1977.142857142857;1.0884520884520885;0.022640033605168242;0.49999999999999994;-0.8660254037844387;-0.4853019625310808;-0.8743466161445822;0.7818314824680298;0.6234898018587336;-1.0;0.0010522055847834884;0.0010522055847834884;0.005989477944152165;0.9994236070573004;3.276872760193301;0.00295676354017137;-1.0;0.0032908101080685787;0.0014219549849679043;0.006134720078004387;1.8208106133628148;3.751333611409793;0.0015641175167601085;False;True;False
2021-05-19;-0.007689178193653377;0.009146094698502631;1858.5714285714287;-0.668141592920354;0.008788799966912753;0.49999999999999994;-0.8660254037844387;-0.651372482722222;-0.7587581226927911;0.9749279121818236;-0.22252093395631434;-1.0;0.0030339059489155836;0.0007789758517485958;0.005083842400885573;0.9707692671591698;3.346299959833176;-0.0036398467432949794;1.0;0.0023399014778325124;0.00090311986863711;0.010303776683087029;1.8259278303903412;3.790273745287818;-0.00436617932133998;False;False;True
