"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2020.12.14	14:00:00	137792	137918	137082	137374	384589	1558854	1"
"2020.12.14	15:00:00	137374	137894	137338	137601	375912	1543796	1"
"2020.12.14	16:00:00	137601	137721	137088	137518	326283	1478549	1"
"2020.12.14	17:00:00	137512	137595	136801	136831	271279	1096347	1"
"2020.12.14	18:00:00	136837	136968	136514	136556	57737	218529	1"
"2020.12.15	09:00:00	137249	137571	137183	137422	274539	888191	1"
"2020.12.15	10:00:00	137422	137906	137165	137756	589970	2114423	1"
"2020.12.15	11:00:00	137756	138049	137482	137697	477231	1894996	1"
"2020.12.15	12:00:00	137691	138557	137649	138461	401084	1656009	1"
"2020.12.15	13:00:00	138455	138885	138300	138682	325444	1351947	1"
"2020.12.15	14:00:00	138688	138993	138640	138885	247482	1033148	1"
"2020.12.15	15:00:00	138885	139029	138670	138748	253415	1092538	1"
"2020.12.15	16:00:00	138754	138975	138539	138658	252896	1175007	1"
"2020.12.15	17:00:00	138658	138855	138617	138742	162498	756043	1"
"2020.12.15	18:00:00	138742	138921	138664	138921	35687	158886	1"
"2020.12.16	09:00:00	138909	139171	138516	138754	312273	989390	1"
"2020.12.16	10:00:00	138748	139255	138504	138748	479414	1761092	1"
"2020.12.16	11:00:00	138748	138939	138325	138867	400300	1650727	1"
"2020.12.16	12:00:00	138862	138999	138474	138552	288861	1227503	1"
"2020.12.16	13:00:00	138552	138647	137795	138111	324585	1386723	1"
"2020.12.16	14:00:00	138111	139040	138039	139028	261171	1141338	1"
"2020.12.16	15:00:00	139034	140256	139005	139999	410109	1931359	1"
"2020.12.16	16:00:00	139999	140994	139761	140756	338616	1715218	1"
"2020.12.16	17:00:00	140756	140810	140375	140625	232483	1124256	1"
"2020.12.16	18:00:00	140619	140696	140434	140434	34704	165098	1"
"2020.12.17	09:00:00	140678	141358	140577	141006	311823	1004234	1"
"2020.12.17	10:00:00	141012	141179	140458	141072	532241	1891454	1"
"2020.12.17	11:00:00	141066	141894	140881	141721	519135	2135361	1"
"2020.12.17	12:00:00	141721	142126	141405	142072	336200	1438134	1"
"2020.12.17	13:00:00	142066	142090	141596	141763	247038	1064999	1"
"2020.12.17	14:00:00	141763	141786	141286	141405	268682	1158329	1"
"2020.12.17	15:00:00	141405	141405	140613	140744	364218	1656965	1"
"2020.12.17	16:00:00	140738	141101	140667	140893	286666	1337647	1"
"2020.12.17	17:00:00	140899	141316	140863	141238	241095	1069935	1"
"2020.12.17	18:00:00	141238	141578	141161	141578	51082	221112	1"
"2020.12.18	09:00:00	140726	141423	140488	141084	383087	1289741	1"
"2020.12.18	10:00:00	141078	141816	140988	141298	477005	1855847	1"
"2020.12.18	11:00:00	141292	142549	141274	141822	559525	2242075	1"
"2020.12.18	12:00:00	141822	142227	141346	141620	439866	1838110	1"
"2020.12.18	13:00:00	141626	141858	141328	141441	281524	1357540	1"
"2020.12.18	14:00:00	141441	141679	141185	141548	270473	1252878	1"
"2020.12.18	15:00:00	141548	141715	141352	141590	219682	1002396	1"
"2020.12.18	16:00:00	141590	141870	141334	141489	272315	1362770	1"
"2020.12.18	17:00:00	141489	141572	140267	140982	391090	1891901	1"
"2020.12.18	18:00:00	140982	141066	140476	140637	61823	292612	1"
"2020.12.21	09:00:00	137986	138445	137753	138206	454305	1494940	1"
"2020.12.21	10:00:00	138200	138707	137116	138605	663385	2425233	1"
"2020.12.21	11:00:00	138599	138832	138308	138391	510136	2035041	1"
"2020.12.21	12:00:00	138391	138611	137634	138170	514227	2192713	1"
"2020.12.21	13:00:00	138165	138772	137932	138629	356784	1552916	1"
"2020.12.21	14:00:00	138629	138921	138212	138617	370454	1516375	1"
"2020.12.21	15:00:00	138617	139743	138540	139481	423705	1768186	1"
"2020.12.21	16:00:00	139481	139731	139159	139475	292439	1298927	1"
"2020.12.21	17:00:00	139481	139624	137748	138182	407856	1765717	1"
"2020.12.21	18:00:00	138182	138290	137908	138087	45497	173678	1"
"2020.12.22	09:00:00	138564	138897	138319	138564	350176	1181927	1"
"2020.12.22	10:00:00	138564	139255	138445	139112	477789	1728206	1"
"2020.12.22	11:00:00	139112	139165	138248	138826	571613	2210274	1"
"2020.12.22	12:00:00	138820	139559	138599	139046	419706	1702183	1"
"2020.12.22	13:00:00	139040	139255	137908	138367	439108	1857111	1"
"2020.12.22	14:00:00	138367	138993	138367	138856	326148	1441425	1"
"2020.12.22	15:00:00	138862	138951	138564	138754	252337	1070970	1"
"2020.12.22	16:00:00	138754	139213	138748	139064	280743	1354707	1"
"2020.12.22	17:00:00	139064	139255	138713	139052	232573	1039467	1"
"2020.12.22	18:00:00	139058	139445	139040	139445	47596	214296	1"
"2020.12.23	09:00:00	139761	139868	139463	139576	251878	833889	1"
"2020.12.23	10:00:00	139582	140107	139463	139958	490467	1901984	1"
"2020.12.23	11:00:00	139958	140524	139839	140363	370392	1588155	1"
"2020.12.23	12:00:00	140363	140905	140130	140839	329808	1380752	1"
"2020.12.23	13:00:00	140839	141256	140732	141095	276690	1160303	1"
"2020.12.23	14:00:00	141095	141179	140905	141072	201784	852318	1"
"2020.12.23	15:00:00	141066	141125	140506	140667	308786	1359599	1"
"2020.12.23	16:00:00	140661	140988	140565	140583	216298	1014546	1"
"2020.12.23	17:00:00	140589	140792	140351	140369	202722	903459	1"
"2020.12.23	18:00:00	140369	140559	140273	140434	48172	203215	1"
"2020.12.28	09:00:00	141185	141590	141185	141405	192558	638910	1"
"2020.12.28	10:00:00	141405	141566	141227	141447	375648	1420139	1"
"2020.12.28	11:00:00	141441	141501	140982	141054	330477	1291129	1"
"2020.12.28	12:00:00	141054	141364	141036	141227	288628	1220217	1"
"2020.12.28	13:00:00	141227	142150	141197	142025	339811	1402942	1"
"2020.12.28	14:00:00	142025	142168	141912	141924	226558	1054362	1"
"2020.12.28	15:00:00	141918	142281	141852	142162	248838	1138378	1"
"2020.12.28	16:00:00	142168	142186	141983	142078	162754	772411	1"
"2020.12.28	17:00:00	142078	142215	142013	142126	117719	516420	1"
"2020.12.28	18:00:00	142126	142513	142090	142436	39133	152241	1"
"2020.12.29	09:00:00	142734	142912	142585	142835	187077	665558	1"
"2020.12.29	10:00:00	142841	143026	142621	142716	407817	1530114	1"
"2020.12.29	11:00:00	142722	142728	141661	141900	465707	1857334	1"
"2020.12.29	12:00:00	141900	142352	141786	142245	291877	1316145	1"
"2020.12.29	13:00:00	142245	142418	142049	142209	232408	1023056	1"
"2020.12.29	14:00:00	142215	142233	141626	142007	274351	1216985	1"
"2020.12.29	15:00:00	142007	142668	141941	142591	282096	1271696	1"
"2020.12.29	16:00:00	142597	142710	142066	142513	260516	1315571	1"
"2020.12.29	17:00:00	142507	142805	142317	142478	226196	1071613	1"
"2020.12.29	18:00:00	142483	142722	142454	142472	41202	161315	1"
"2020.12.30	09:00:00	142817	143032	142615	142871	182452	632717	1"
"2020.12.30	10:00:00	142877	143425	142865	142948	382661	1465086	1"
"2020.12.30	11:00:00	142942	142996	142591	142835	368987	1564887	1"
"2020.12.30	12:00:00	142829	142954	142454	142603	252659	1097473	1"
"2020.12.30	13:00:00	142609	142644	142156	142341	270717	1261749	1"
"2020.12.30	14:00:00	142346	142609	142186	142579	226748	951089	1"
"2020.12.30	15:00:00	142585	142740	142495	142579	182759	794633	1"
"2020.12.30	16:00:00	142579	142621	141840	142305	324060	1498817	1"
"2020.12.30	17:00:00	142305	142543	141935	141935	217085	886226	1"
"2020.12.30	18:00:00	141947	142102	141786	141989	46866	184003	1"
"2021.01.04	09:00:00	143294	143669	143216	143466	216289	742682	1"
"2021.01.04	10:00:00	143466	143562	142525	142656	459848	1675639	1"
"2021.01.04	11:00:00	142656	142942	142424	142793	419751	1653108	1"
"2021.01.04	12:00:00	142793	142906	141769	141906	425080	1748915	1"
"2021.01.04	13:00:00	141906	142090	141101	141292	477119	2019724	1"
"2021.01.04	14:00:00	141292	141596	140750	141542	403845	1632217	1"
"2021.01.04	15:00:00	141536	142329	141512	142162	341375	1478063	1"
"2021.01.04	16:00:00	142162	142209	141262	141804	361988	1607817	1"
"2021.01.04	17:00:00	141804	141846	141209	141638	283511	1178387	1"
"2021.01.04	18:00:00	141638	141703	141334	141417	41651	142306	1"
"2021.01.05	09:00:00	141769	141870	140899	141215	451310	1473108	1"
"2021.01.05	10:00:00	141221	141346	139195	139237	747529	2697701	1"
"2021.01.05	11:00:00	139231	140357	139118	140089	528371	2096051	1"
"2021.01.05	12:00:00	140089	140559	139839	140130	434580	1782218	1"
"2021.01.05	13:00:00	140130	141274	140065	141137	384640	1678106	1"
"2021.01.05	14:00:00	141137	141900	141125	141709	327101	1468041	1"
"2021.01.05	15:00:00	141709	142609	141703	142466	372306	1652170	1"
"2021.01.05	16:00:00	142466	142930	142251	142299	295296	1384366	1"
"2021.01.05	17:00:00	142305	142466	141929	142239	226532	1029431	1"
"2021.01.05	18:00:00	142239	142346	141840	141840	45349	197966	1"
"2021.01.06	09:00:00	142043	142859	142043	142215	500165	1750264	1"
"2021.01.06	10:00:00	142221	143073	142108	142597	709493	2651038	1"
"2021.01.06	11:00:00	142603	143252	141655	143133	729920	2840268	1"
"2021.01.06	12:00:00	143139	143365	142924	143115	374705	1559173	1"
"2021.01.06	13:00:00	143121	143818	142817	143139	400306	1646743	1"
"2021.01.06	14:00:00	143139	143681	143026	143455	316647	1332667	1"
"2021.01.06	15:00:00	143449	144235	143449	144146	339195	1480896	1"
"2021.01.06	16:00:00	144146	144253	143145	143353	452374	2047106	1"
"2021.01.06	17:00:00	143353	143401	141941	142031	351753	1498158	1"
"2021.01.06	18:00:00	142025	142168	141852	141852	51297	225853	1"
"2021.01.07	09:00:00	142448	142769	142055	142626	358077	1210541	1"
"2021.01.07	10:00:00	142626	143222	142275	143073	562867	1995850	1"
"2021.01.07	11:00:00	143079	144390	143008	144348	548797	2174320	1"
"2021.01.07	12:00:00	144342	145021	144163	144825	399440	1677600	1"
"2021.01.07	13:00:00	144825	145057	144527	144616	360459	1643546	1"
"2021.01.07	14:00:00	144610	145099	144455	144807	343986	1439974	1"
"2021.01.07	15:00:00	144807	145188	144545	144938	270318	1269286	1"
"2021.01.07	16:00:00	144944	145283	144860	145152	269314	1229467	1"
"2021.01.07	17:00:00	145158	146391	145099	146201	316860	1358620	1"
"2021.01.07	18:00:00	146207	147118	146064	146761	78397	318412	1"
"2021.01.08	09:00:00	146725	146874	146463	146630	287716	981451	1"
"2021.01.08	10:00:00	146624	147541	146260	146427	738599	2561903	1"
"2021.01.08	11:00:00	146427	147499	145790	146040	704337	2673345	1"
"2021.01.08	12:00:00	146034	147404	146016	147231	539214	2095511	1"
"2021.01.08	13:00:00	147237	148000	147231	147762	411154	1721606	1"
"2021.01.08	14:00:00	147767	148893	147178	148840	529680	2151421	1"
"2021.01.08	15:00:00	148846	148959	147821	148363	462644	1971781	1"
"2021.01.08	16:00:00	148363	149215	148322	149167	348952	1677436	1"
"2021.01.08	17:00:00	149173	149489	148798	149275	266458	1228405	1"
"2021.01.08	18:00:00	149269	149430	148887	149364	56341	218117	1"
"2021.01.11	09:00:00	148333	148482	147434	147767	395743	1276449	1"
"2021.01.11	10:00:00	147762	148095	147154	147416	691814	2364339	1"
"2021.01.11	11:00:00	147410	148780	147350	148703	731491	2825695	1"
"2021.01.11	12:00:00	148703	148828	147464	147601	520586	2040061	1"
"2021.01.11	13:00:00	147595	148095	146761	147756	503369	1966004	1"
"2021.01.11	14:00:00	147750	147845	147362	147708	394541	1594761	1"
"2021.01.11	15:00:00	147702	147779	146892	147380	424391	1647413	1"
"2021.01.11	16:00:00	147380	147577	146451	146600	435960	1814925	1"
"2021.01.11	17:00:00	146600	147005	145903	146570	444522	1784882	1"
"2021.01.11	18:00:00	146564	147142	146522	147142	67754	237027	1"
"2021.01.12	09:00:00	147499	147642	147291	147464	304465	964032	1"
"2021.01.12	10:00:00	147464	147499	146826	146933	654176	2234379	1"
"2021.01.12	11:00:00	146939	147988	146820	147922	677194	2590570	1"
"2021.01.12	12:00:00	147928	148596	147785	148441	467129	1815936	1"
"2021.01.12	13:00:00	148435	148548	147839	148202	461962	1780511	1"
"2021.01.12	14:00:00	148208	148292	147499	147976	539678	2134222	1"
"2021.01.12	15:00:00	147976	148042	147625	147827	366345	1533581	1"
"2021.01.12	16:00:00	147833	148089	147630	148077	304585	1295030	1"
"2021.01.12	17:00:00	148077	148399	147785	148208	278417	1128660	1"
"2021.01.12	18:00:00	148202	148220	147809	147940	54560	217815	1"
"2021.01.13	09:00:00	147672	148208	147553	147791	468365	1452153	1"
"2021.01.13	10:00:00	147797	147875	147059	147255	493481	1692805	1"
"2021.01.13	11:00:00	147255	147273	145635	145700	676946	2647495	1"
"2021.01.13	12:00:00	145694	146070	144950	145331	565773	2319427	1"
"2021.01.13	13:00:00	145337	145760	144783	144884	433596	1749508	1"
"2021.01.13	14:00:00	144884	145063	144187	145039	483560	1944468	1"
"2021.01.13	15:00:00	145045	145873	144890	145712	485703	1944661	1"
"2021.01.13	16:00:00	145712	146242	145295	145653	420653	1876937	1"
"2021.01.13	17:00:00	145647	146129	145128	145277	332971	1560549	1"
"2021.01.13	18:00:00	145277	145742	145170	145677	62842	282595	1"
"2021.01.14	09:00:00	146314	146314	145754	145951	343289	1100478	1"
"2021.01.14	10:00:00	145951	146916	145915	146195	699103	2412753	1"
"2021.01.14	11:00:00	146195	146618	145962	146213	574233	2295202	1"
"2021.01.14	12:00:00	146207	147106	146070	146397	489764	1902300	1"
"2021.01.14	13:00:00	146403	147261	146397	147172	361128	1400301	1"
"2021.01.14	14:00:00	147178	147577	146856	147356	411807	1601043	1"
"2021.01.14	15:00:00	147356	147791	147076	147196	448500	1744214	1"
"2021.01.14	16:00:00	147196	147595	147130	147505	344989	1454114	1"
"2021.01.14	17:00:00	147505	147660	146963	147148	344976	1385704	1"
"2021.01.14	18:00:00	147148	147237	146785	146785	52698	194636	1"
"2021.01.15	09:00:00	146195	146242	144884	145099	510530	1748993	1"
"2021.01.15	10:00:00	145093	145736	144592	144783	668064	2292981	1"
"2021.01.15	11:00:00	144783	144926	144324	144431	527867	2020118	1"
"2021.01.15	12:00:00	144431	144664	143389	144312	668149	2737979	1"
"2021.01.15	13:00:00	144318	144962	143955	144378	450567	1801456	1"
"2021.01.15	14:00:00	144372	144455	143586	144437	401799	1589820	1"
"2021.01.15	15:00:00	144431	144765	144050	144205	331680	1303153	1"
"2021.01.15	16:00:00	144211	144426	143866	143955	264915	1112511	1"
"2021.01.15	17:00:00	143961	144080	143175	143347	321768	1258991	1"
"2021.01.15	18:00:00	143353	143460	143061	143389	59841	221831	1"
"2021.01.18	09:00:00	143842	144217	142924	143979	510067	1628357	1"
"2021.01.18	10:00:00	143979	144968	143812	144843	610502	2215219	1"
"2021.01.18	11:00:00	144843	146117	144819	146105	544054	2180930	1"
"2021.01.18	12:00:00	146111	146284	145551	145825	380859	1480218	1"
"2021.01.18	13:00:00	145825	145837	145236	145456	312551	1227616	1"
"2021.01.18	14:00:00	145456	145730	145373	145522	266460	1069302	1"
"2021.01.18	15:00:00	145516	145802	144467	144568	399818	1553863	1"
"2021.01.18	16:00:00	144568	145021	144420	144670	285037	1144450	1"
"2021.01.18	17:00:00	144670	144956	144294	144449	260199	956595	1"
"2021.01.18	18:00:00	144449	144723	144330	144479	61313	235115	1"
"2021.01.19	09:00:00	145587	145879	145414	145736	292359	977324	1"
"2021.01.19	10:00:00	145742	145825	144426	144473	748243	2811659	1"
"2021.01.19	11:00:00	144473	144551	142406	142585	811736	3310473	1"
"2021.01.19	12:00:00	142585	143615	142376	142978	577727	2441712	1"
"2021.01.19	13:00:00	142978	143729	142948	143580	393379	1844671	1"
"2021.01.19	14:00:00	143580	143580	142084	142686	599133	2564970	1"
"2021.01.19	15:00:00	142686	143389	142632	143198	388912	1680156	1"
"2021.01.19	16:00:00	143204	143848	142990	143669	355462	1596611	1"
"2021.01.19	17:00:00	143675	144080	143502	143645	322625	1403114	1"
"2021.01.19	18:00:00	143645	143824	143407	143717	48026	190321	1"
"2021.01.20	09:00:00	143663	144664	143115	144539	559630	1819073	1"
"2021.01.20	10:00:00	144533	144783	144229	144348	524114	1862245	1"
"2021.01.20	11:00:00	144342	144622	142990	143520	648932	2563055	1"
"2021.01.20	12:00:00	143526	143717	141560	142031	632188	2567478	1"
"2021.01.20	13:00:00	142037	142531	141387	142358	459819	1883246	1"
"2021.01.20	14:00:00	142358	142811	142311	142621	322307	1296867	1"
"2021.01.20	15:00:00	142621	142984	142388	142483	346617	1467913	1"
"2021.01.20	16:00:00	142489	142871	142221	142781	288476	1304757	1"
"2021.01.20	17:00:00	142781	142918	142454	142609	247134	1097626	1"
"2021.01.20	18:00:00	142609	142752	142472	142609	51086	212745	1"
"2021.01.21	09:00:00	143210	143353	142078	142358	515238	1632121	1"
"2021.01.21	10:00:00	142358	143228	142150	142835	678588	2323936	1"
"2021.01.21	11:00:00	142835	142871	140821	140929	830176	3096560	1"
"2021.01.21	12:00:00	140923	141548	140470	140637	473702	1841617	1"
"2021.01.21	13:00:00	140643	141334	140285	141244	403835	1604757	1"
"2021.01.21	14:00:00	141250	141822	140684	141745	367880	1599156	1"
"2021.01.21	15:00:00	141745	142257	141483	141715	403679	1704937	1"
"2021.01.21	16:00:00	141709	141828	141006	141113	285729	1307354	1"
"2021.01.21	17:00:00	141107	141298	140804	141125	255752	1046521	1"
"2021.01.21	18:00:00	141125	141137	140655	140827	47172	178808	1"
"2021.01.22	09:00:00	139219	139511	138427	139010	511216	1720719	1"
"2021.01.22	10:00:00	139010	139130	138284	138850	659485	2340055	1"
"2021.01.22	11:00:00	138856	139874	138838	139380	679639	2605099	1"
"2021.01.22	12:00:00	139380	139570	138844	139136	430004	1655452	1"
"2021.01.22	13:00:00	139142	139439	138921	139314	327494	1291062	1"
"2021.01.22	14:00:00	139314	139505	138534	138832	425031	1720586	1"
"2021.01.22	15:00:00	138826	139624	138671	139392	320475	1321229	1"
"2021.01.22	16:00:00	139392	139469	138814	139171	380536	1595556	1"
"2021.01.22	17:00:00	139171	140524	139064	139910	368048	1505651	1"
"2021.01.22	18:00:00	139922	140113	139701	139993	76786	299371	1"
"2021.01.26	09:00:00	139147	140351	138695	139725	626223	2068045	1"
"2021.01.26	10:00:00	139719	141578	139582	141471	729388	2677569	1"
"2021.01.26	11:00:00	141477	142001	141101	141495	636341	2527753	1"
"2021.01.26	12:00:00	141489	142013	141018	141256	490686	2065292	1"
"2021.01.26	13:00:00	141256	141387	139725	139839	536634	2246438	1"
"2021.01.26	14:00:00	139833	140214	139505	140107	436562	1873006	1"
"2021.01.26	15:00:00	140107	140273	139499	139624	365798	1604929	1"
"2021.01.26	16:00:00	139624	139970	138653	138981	451696	1920902	1"
"2021.01.26	17:00:00	138981	139147	138266	138522	287119	1232095	1"
"2021.01.26	18:00:00	138516	138796	138361	138564	63178	245990	1"
"2021.01.27	09:00:00	137902	138576	137759	138308	588092	1958296	1"
"2021.01.27	10:00:00	138313	138999	137605	138867	882744	3232075	1"
"2021.01.27	11:00:00	138867	139028	136800	137551	896278	3572811	1"
"2021.01.27	12:00:00	137545	138468	137438	138224	523474	2109001	1"
"2021.01.27	13:00:00	138218	138302	137533	137730	377994	1547635	1"
"2021.01.27	14:00:00	137730	139964	137646	139785	576796	2397711	1"
"2021.01.27	15:00:00	139785	140434	139100	139707	479096	2057364	1"
"2021.01.27	16:00:00	139731	139987	138570	138677	495687	2008844	1"
"2021.01.27	17:00:00	138677	138969	137587	138063	421321	1875566	1"
"2021.01.27	18:00:00	138057	138206	137217	137611	86355	313852	1"
"2021.01.28	09:00:00	137819	138826	137700	137843	561582	1799541	1"
"2021.01.28	10:00:00	137849	139946	137569	139868	884014	2892779	1"
"2021.01.28	11:00:00	139862	140387	139487	139701	703350	2562520	1"
"2021.01.28	12:00:00	139696	141024	139684	140762	633538	2575943	1"
"2021.01.28	13:00:00	140762	141512	140553	141292	493040	2018331	1"
"2021.01.28	14:00:00	141292	141477	140887	141125	409155	1594628	1"
"2021.01.28	15:00:00	141131	141751	140738	141030	474278	1900321	1"
"2021.01.28	16:00:00	141030	141864	140625	141572	438068	1867063	1"
"2021.01.28	17:00:00	141572	142317	141286	141727	435353	1788197	1"
"2021.01.28	18:00:00	141727	142346	141673	142168	57039	233804	1"
"2021.01.29	09:00:00	141304	141399	140375	140464	489959	1735255	1"
"2021.01.29	10:00:00	140464	141179	139970	140369	856086	3286940	1"
"2021.01.29	11:00:00	140369	140387	139427	140178	723221	3018281	1"
"2021.01.29	12:00:00	140172	140303	139052	139475	537807	2240739	1"
"2021.01.29	13:00:00	139469	139696	138272	138415	486367	2158150	1"
"2021.01.29	14:00:00	138415	138772	137444	137759	475571	2124625	1"
"2021.01.29	15:00:00	137753	138254	137313	137920	483571	2148546	1"
"2021.01.29	16:00:00	137920	138617	137557	138260	450784	1947108	1"
"2021.01.29	17:00:00	138260	138999	136872	137360	515054	2318979	1"
"2021.01.29	18:00:00	137372	137521	136669	137015	101741	455596	1"
"2021.02.01	09:00:00	138623	139862	138242	139290	538315	1712920	1"
"2021.02.01	10:00:00	139290	139779	138671	138927	721948	2456263	1"
"2021.02.01	11:00:00	138921	139553	137801	138695	748634	2867904	1"
"2021.02.01	12:00:00	138707	139398	138153	138361	651155	2433979	1"
"2021.02.01	13:00:00	138367	139892	138022	139171	549880	2029132	1"
"2021.02.01	14:00:00	139177	139320	138516	139028	532626	1950300	1"
"2021.02.01	15:00:00	139028	139743	138867	139672	471893	1788177	1"
"2021.02.01	16:00:00	139672	140577	139314	140375	524376	2112853	1"
"2021.02.01	17:00:00	140375	140482	139648	139678	406215	1617070	1"
"2021.02.01	18:00:00	139678	140059	139630	139934	80818	317665	1"
"2021.02.02	09:00:00	141167	141864	141066	141507	487960	1574361	1"
"2021.02.02	10:00:00	141512	142549	141280	141769	989148	3450713	1"
"2021.02.02	11:00:00	141763	142871	141751	142186	812304	2939250	1"
"2021.02.02	12:00:00	142186	142382	141262	141310	571344	2110701	1"
"2021.02.02	13:00:00	141316	141751	140279	140601	599675	2283651	1"
"2021.02.02	14:00:00	140601	141387	140273	140792	520034	2028295	1"
"2021.02.02	15:00:00	140798	141346	140244	140696	521479	2123549	1"
"2021.02.02	16:00:00	140702	141358	140369	141340	484729	2048492	1"
"2021.02.02	17:00:00	141334	141667	140744	140982	484986	1803851	1"
"2021.02.02	18:00:00	140976	141316	140714	141316	78564	249307	1"
"2021.02.03	09:00:00	141703	142066	141244	141894	553939	1817058	1"
"2021.02.03	10:00:00	141900	142680	141512	142561	881981	2974428	1"
"2021.02.03	11:00:00	142561	142954	142025	142900	737017	2693121	1"
"2021.02.03	12:00:00	142906	143210	141578	142829	743157	2747913	1"
"2021.02.03	13:00:00	142835	143425	142460	143276	550725	2039311	1"
"2021.02.03	14:00:00	143276	143353	142567	142644	409440	1523560	1"
"2021.02.03	15:00:00	142638	142823	142084	142352	505248	1959977	1"
"2021.02.03	16:00:00	142346	142853	142090	142555	378059	1589848	1"
"2021.02.03	17:00:00	142561	142900	142430	142603	330387	1294002	1"
"2021.02.03	18:00:00	142603	142972	142579	142781	46841	169143	1"
"2021.02.04	09:00:00	143103	143306	142638	143079	594428	1869143	1"
"2021.02.04	10:00:00	143079	143788	142769	143413	792533	2629084	1"
"2021.02.04	11:00:00	143413	143699	141834	142132	832231	3007066	1"
"2021.02.04	12:00:00	142126	142644	141572	142192	627486	2314065	1"
"2021.02.04	13:00:00	142186	142662	142001	142448	416096	1568572	1"
"2021.02.04	14:00:00	142448	142674	141995	142406	429170	1615208	1"
"2021.02.04	15:00:00	142406	142710	142001	142317	441490	1729865	1"
"2021.02.04	16:00:00	142323	142567	142055	142412	331794	1368207	1"
"2021.02.04	17:00:00	142412	142466	141828	141977	330223	1378421	1"
"2021.02.04	18:00:00	141971	142150	141721	141721	62182	233077	1"
"2021.02.05	09:00:00	142585	143008	142454	142746	427558	1451567	1"
"2021.02.05	10:00:00	142752	143872	142555	143329	760324	2681381	1"
"2021.02.05	11:00:00	143329	143746	143026	143127	619328	2265779	1"
"2021.02.05	12:00:00	143133	143544	142215	143341	619913	2357671	1"
"2021.02.05	13:00:00	143341	144056	143294	143574	440370	1733851	1"
"2021.02.05	14:00:00	143574	144396	143508	144294	382698	1498058	1"
"2021.02.05	15:00:00	144289	144294	143752	144020	351900	1306213	1"
"2021.02.05	16:00:00	144020	144134	142579	142692	497095	2087688	1"
"2021.02.05	17:00:00	142692	143312	142615	143198	325380	1333642	1"
"2021.02.05	18:00:00	143204	143568	143169	143568	51616	198754	1"
"2021.02.08	09:00:00	143592	143669	142758	143139	553061	1933030	1"
"2021.02.08	10:00:00	143133	143395	142120	142954	910442	3227808	1"
"2021.02.08	11:00:00	142954	143818	142621	143687	706496	2613102	1"
"2021.02.08	12:00:00	143687	144026	143204	143740	557773	2108150	1"
"2021.02.08	13:00:00	143740	144020	143377	143615	444028	1731051	1"
"2021.02.08	14:00:00	143615	143758	143288	143544	353494	1428791	1"
"2021.02.08	15:00:00	143544	143592	142007	142066	602242	2376498	1"
"2021.02.08	16:00:00	142072	142674	141828	142632	449363	1827809	1"
"2021.02.08	17:00:00	142626	142918	142180	142692	341676	1416260	1"
"2021.02.08	18:00:00	142692	142769	142388	142579	49875	182959	1"
"2021.02.09	09:00:00	142495	142918	142204	142281	651935	1976541	1"
"2021.02.09	10:00:00	142275	142466	141858	142072	865835	2941091	1"
"2021.02.09	11:00:00	142072	142090	140798	141322	844979	3012835	1"
"2021.02.09	12:00:00	141316	142186	140857	141953	617983	2365340	1"
"2021.02.09	13:00:00	141953	142877	141685	142644	517117	2173026	1"
"2021.02.09	14:00:00	142644	142948	142454	142609	416098	1721699	1"
"2021.02.09	15:00:00	142609	142662	142305	142561	371446	1552204	1"
"2021.02.09	16:00:00	142561	142900	142483	142650	380168	1790421	1"
"2021.02.09	17:00:00	142644	142704	142072	142311	313334	1425180	1"
"2021.02.09	18:00:00	142311	142430	142192	142376	51910	202159	1"
"2021.02.10	09:00:00	142674	142871	141906	142317	577244	1962738	1"
"2021.02.10	10:00:00	142311	142704	141447	141518	906296	3256232	1"
"2021.02.10	11:00:00	141524	141757	140738	141167	846764	3046118	1"
"2021.02.10	12:00:00	141167	141590	140387	140667	761051	2942654	1"
"2021.02.10	13:00:00	140667	141375	140565	141095	503331	1915935	1"
"2021.02.10	14:00:00	141095	141298	140702	141227	378594	1539046	1"
"2021.02.10	15:00:00	141227	141274	140845	140982	326753	1354283	1"
"2021.02.10	16:00:00	140982	141369	140506	141256	405264	1721777	1"
"2021.02.10	17:00:00	141256	141566	140744	140970	350982	1506135	1"
"2021.02.10	18:00:00	140964	141084	140810	140810	40436	159827	1"
"2021.02.11	09:00:00	141358	142096	141066	142066	522857	1743644	1"
"2021.02.11	10:00:00	142061	142597	141929	142507	654928	2441464	1"
"2021.02.11	11:00:00	142501	143359	142472	142900	713892	2998553	1"
"2021.02.11	12:00:00	142900	143097	142644	142716	440927	1922780	1"
"2021.02.11	13:00:00	142722	143038	142525	142740	412948	1824263	1"
"2021.02.11	14:00:00	142740	142871	141113	141667	677132	2924323	1"
"2021.02.11	15:00:00	141667	142013	141405	141888	402079	1767391	1"
"2021.02.11	16:00:00	141894	142299	141673	142108	411607	1850230	1"
"2021.02.11	17:00:00	142114	142227	141876	142055	231438	1022668	1"
"2021.02.11	18:00:00	142055	142495	141983	142495	46621	179231	1"
"2021.02.12	09:00:00	141792	142001	141584	141745	361853	1230919	1"
"2021.02.12	10:00:00	141745	141912	140690	140887	748444	2743756	1"
"2021.02.12	11:00:00	140887	141560	140619	141477	579688	2327878	1"
