"<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>"
"2018.03.12	10:00:00	116716	116970	116382	116823	90366	311726	1"
"2018.03.12	11:00:00	116823	117123	116549	116609	97515	361535	1"
"2018.03.12	12:00:00	116616	116716	116335	116409	69029	261629	1"
"2018.03.12	13:00:00	116409	116723	116409	116609	50246	197113	1"
"2018.03.12	14:00:00	116609	116910	116509	116790	47737	181973	1"
"2018.03.12	15:00:00	116790	117043	116696	116896	55801	220114	1"
"2018.03.12	16:00:00	116890	117144	116729	116883	58342	232394	1"
"2018.03.12	17:00:00	116883	116930	116643	116656	23147	94982	1"
"2018.03.13	09:00:00	117030	117437	116883	117384	73227	275008	1"
"2018.03.13	10:00:00	117384	117518	117030	117063	93362	349073	1"
"2018.03.13	11:00:00	117070	117230	116496	116529	99559	401834	1"
"2018.03.13	12:00:00	116522	116636	116122	116122	88620	382197	1"
"2018.03.13	13:00:00	116128	116442	115768	116309	82864	372864	1"
"2018.03.13	14:00:00	116309	116509	115828	115901	72246	314203	1"
"2018.03.13	15:00:00	115901	116342	115874	116102	79252	316951	1"
"2018.03.13	16:00:00	116115	116235	115667	116048	84548	339708	1"
"2018.03.13	17:00:00	116062	116389	116041	116215	29496	127789	1"
"2018.03.14	09:00:00	116796	116950	116623	116636	55088	192060	1"
"2018.03.14	10:00:00	116629	116997	116262	116322	107690	416060	1"
"2018.03.14	11:00:00	116329	116462	115814	115921	103277	416267	1"
"2018.03.14	12:00:00	115921	115995	115333	115547	99177	459219	1"
"2018.03.14	13:00:00	115547	115594	115146	115427	66287	285885	1"
"2018.03.14	14:00:00	115427	115861	115267	115734	61540	256431	1"
"2018.03.14	15:00:00	115728	115821	115340	115728	71678	306237	1"
"2018.03.14	16:00:00	115728	115955	115454	115841	63065	276514	1"
"2018.03.14	17:00:00	115834	115841	115480	115521	20636	94519	1"
"2018.03.15	09:00:00	115587	115594	114893	115046	65524	211874	1"
"2018.03.15	10:00:00	115046	115427	114325	114392	112410	421138	1"
"2018.03.15	11:00:00	114405	114706	114198	114612	75697	304005	1"
"2018.03.15	12:00:00	114605	114913	114439	114639	62012	253272	1"
"2018.03.15	13:00:00	114639	114819	114385	114479	51757	207593	1"
"2018.03.15	14:00:00	114485	114632	113877	113918	64930	272789	1"
"2018.03.15	15:00:00	113924	114091	113757	114058	53757	223078	1"
"2018.03.15	16:00:00	114051	114231	113998	114165	40236	165915	1"
"2018.03.15	17:00:00	114165	114479	114038	114479	22450	101667	1"
"2018.03.16	09:00:00	114131	114572	114038	114485	62774	203309	1"
"2018.03.16	10:00:00	114485	114732	113771	114579	137670	507015	1"
"2018.03.16	11:00:00	114585	114913	114465	114666	95357	388703	1"
"2018.03.16	12:00:00	114666	114712	114211	114392	84297	348724	1"
"2018.03.16	13:00:00	114392	114459	114011	114158	65937	276107	1"
"2018.03.16	14:00:00	114165	114325	113944	114131	65949	271845	1"
"2018.03.16	15:00:00	114125	114338	113918	114085	59684	241499	1"
"2018.03.16	16:00:00	114078	114185	113764	113824	65529	259383	1"
"2018.03.16	17:00:00	113837	113971	113443	113443	30185	124216	1"
"2018.03.19	09:00:00	112909	113270	112729	112869	50734	156778	1"
"2018.03.19	10:00:00	112869	113423	112682	113330	129676	451386	1"
"2018.03.19	11:00:00	113336	113664	112976	113063	107381	415568	1"
"2018.03.19	12:00:00	113069	113089	112542	112642	91507	381818	1"
