<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2023.05.09	17:50:00	108670	108700	108605	108700	10607	40434	5
2023.05.10	09:00:00	108250	108435	108180	108375	111752	313168	5
2023.05.10	09:10:00	108375	108390	108100	108195	72397	203840	5
2023.05.10	09:20:00	108195	108365	108060	108245	85748	218831	5
2023.05.10	09:30:00	108245	108820	108235	108300	229743	556212	5
2023.05.10	09:40:00	108300	108560	108185	108460	140048	427218	5
2023.05.10	09:50:00	108460	108485	108125	108285	120835	376724	5
2023.05.10	10:00:00	108285	108390	108100	108230	134356	453589	5
2023.05.10	10:10:00	108230	108740	108215	108300	221654	709502	5
2023.05.10	10:20:00	108300	108590	108250	108545	106727	353163	5
2023.05.10	10:30:00	108545	108630	108275	108545	158606	518646	5
2023.05.10	10:40:00	108545	108605	107685	107755	227900	758878	5
2023.05.10	10:50:00	107755	108270	107590	108265	162710	516855	5
2023.05.10	11:00:00	108260	108470	108210	108300	153652	529372	5
2023.05.10	11:10:00	108305	108485	108160	108315	120512	415729	5
2023.05.10	11:20:00	108310	108555	108300	108310	102829	384482	5
2023.05.10	11:30:00	108315	108475	108015	108105	114195	409485	5
2023.05.10	11:40:00	108105	108390	108095	108260	109184	397390	5
2023.05.10	11:50:00	108260	108340	108075	108130	80632	291111	5
2023.05.10	12:00:00	108135	108280	108105	108185	68375	247113	5
2023.05.10	12:10:00	108190	108410	108165	108385	63367	238275	5
2023.05.10	12:20:00	108380	108435	108245	108370	69797	255733	5
2023.05.10	12:30:00	108365	108380	108195	108295	55565	207650	5
2023.05.10	12:40:00	108295	108540	108260	108465	65373	238067	5
2023.05.10	12:50:00	108465	108530	108310	108360	46125	174405	5
2023.05.10	13:00:00	108365	108400	108250	108260	40339	155327	5
2023.05.10	13:10:00	108260	108420	108225	108415	45067	163698	5
2023.05.10	13:20:00	108410	108515	108345	108410	41574	147882	5
2023.05.10	13:30:00	108405	108430	108330	108340	32567	128231	5
2023.05.10	13:40:00	108345	108410	108320	108355	24937	104494	5
2023.05.10	13:50:00	108355	108425	108300	108400	31243	119240	5
2023.05.10	14:00:00	108405	108495	108310	108450	47570	180667	5
2023.05.10	14:10:00	108455	108570	108370	108415	50220	193133	5
2023.05.10	14:20:00	108410	108425	108090	108205	87934	349499	5
2023.05.10	14:30:00	108205	108320	108095	108100	68051	241618	5
2023.05.10	14:40:00	108095	108350	108090	108280	64303	244636	5
2023.05.10	14:50:00	108275	108390	108215	108360	45916	171993	5
2023.05.10	15:00:00	108355	108450	108350	108440	41899	162530	5
