datetime;Abertura;Fechamento;Maxima;Minima;Volume_Real;Volume_Tick;label
2025-10-13 10:15:00;141840;142010;142130;141835;382151;123426;Venda
2025-10-13 10:20:00;142010;142270;142295;141955;271690;95741;Venda
2025-10-13 10:25:00;142265;142185;142265;141970;304925;97817;Venda
2025-10-13 10:30:00;142190;142110;142230;142030;360816;124556;Venda
2025-10-13 10:35:00;142110;141885;142155;141840;322755;111293;Venda
2025-10-13 10:40:00;141880;141795;141910;141710;351268;117682;Venda
2025-10-13 10:45:00;141795;141970;142045;141750;266617;92614;Venda
2025-10-13 10:50:00;141965;142080;142190;141935;271721;91462;Venda
2025-10-13 10:55:00;142080;142125;142200;142050;193183;61511;Venda
2025-10-13 11:00:00;142120;142080;142155;141910;279992;90372;Venda
2025-10-13 11:05:00;142075;142050;142200;141985;252031;79020;Venda
2025-10-13 11:10:00;142045;142215;142230;142000;212829;66711;Venda
2025-10-13 11:15:00;142210;141980;142255;141955;238268;75128;Venda
2025-10-13 11:20:00;141985;141875;142005;141750;297634;91244;Venda
2025-10-13 11:25:00;141875;141910;141960;141785;215679;66276;Venda
2025-10-13 11:30:00;141915;142105;142135;141885;233655;71844;Venda
2025-10-13 11:35:00;142100;142125;142250;142090;237517;73758;Venda
2025-10-13 11:40:00;142125;142250;142315;142070;193223;63327;Venda
2025-10-13 11:45:00;142250;142160;142275;142115;178791;58477;Venda
2025-10-13 11:50:00;142155;142135;142295;142105;196492;62435;Venda
2025-10-13 11:55:00;142135;142065;142140;142040;157401;48542;Venda
2025-10-14 09:00:00;140590;140705;140865;140535;227847;75594;Compra
2025-10-14 09:05:00;140710;140635;140730;140500;239836;80163;Compra
2025-10-14 09:10:00;140640;140770;140830;140610;242315;78067;Compra
2025-10-14 09:15:00;140765;140975;141035;140705;295961;94658;Compra
2025-10-14 09:20:00;140975;141215;141305;140940;379281;122026;Compra
2025-10-14 09:25:00;141215;141230;141380;141115;327683;101489;Compra
2025-10-14 09:30:00;141225;141305;141440;141210;248311;80063;Compra
2025-10-14 09:35:00;141305;141365;141455;141220;213936;69026;Compra
2025-10-14 09:40:00;141365;141520;141550;141335;289031;90802;Compra
2025-10-14 09:45:00;141520;141160;141595;141140;368021;118829;Compra
2025-10-14 09:50:00;141165;141370;141390;141160;198371;66190;Compra
2025-10-14 09:55:00;141375;141340;141475;141295;177292;59665;Compra
2025-10-14 10:00:00;141340;141345;141450;141195;283758;95320;Compra
2025-10-14 10:05:00;141345;141430;142005;141275;576735;184404;Compra
2025-10-14 10:10:00;141435;141480;141625;141340;281085;92399;Compra
2025-10-14 10:15:00;141485;141465;141695;141450;286720;91962;Compra
2025-10-14 10:20:00;141470;141445;141550;141405;178271;58301;Compra
2025-10-14 10:25:00;141445;141540;141580;141315;229880;79067;Compra
2025-10-14 10:30:00;141545;141815;142035;141455;556461;177999;Compra
2025-10-14 10:35:00;141820;141885;141955;141650;344909;109519;Compra
2025-10-14 10:40:00;141885;141620;141955;141560;329789;102232;Compra
2025-10-14 10:45:00;141620;141755;141840;141560;265481;85500;Compra
2025-10-14 10:50:00;141755;141950;141975;141630;291671;91646;Compra
2025-10-14 10:55:00;141955;141980;142065;141895;301911;91504;Compra
2025-10-14 11:00:00;141980;142115;142130;141835;318371;101129;Compra
2025-10-14 11:05:00;142110;142095;142160;141965;252727;78679;Compra
2025-10-14 11:10:00;142095;142135;142190;142035;231450;69401;Compra
2025-10-14 11:15:00;142135;142350;142360;142125;280884;86502;Compra
2025-10-14 11:20:00;142350;142550;142625;142330;361488;108240;Compra
2025-10-14 11:25:00;142555;142595;142690;142480;240449;70648;Compra
