Data_Hora_UTC,Data_Hora_BR,Abertura,Maxima,Minima,Fechamento,Volume_Tick,Volume_Real
2024-10-24 10:20:00+00:00,2024-10-24 07:20:00+00:00,130730.0,130875.0,130610.0,130870.0,146696,507548
2024-10-24 10:30:00+00:00,2024-10-24 07:30:00+00:00,130865.0,131050.0,130665.0,130860.0,207462,713007
2024-10-24 10:40:00+00:00,2024-10-24 07:40:00+00:00,130855.0,131120.0,130825.0,130995.0,138975,496950
2024-10-24 10:50:00+00:00,2024-10-24 07:50:00+00:00,131000.0,131040.0,130835.0,130955.0,87024,299174
2024-10-24 11:00:00+00:00,2024-10-24 08:00:00+00:00,130950.0,130955.0,130765.0,130815.0,85769,290391
2024-10-24 11:10:00+00:00,2024-10-24 08:10:00+00:00,130815.0,130925.0,130680.0,130770.0,89386,325277
2024-10-24 11:20:00+00:00,2024-10-24 08:20:00+00:00,130765.0,130820.0,130640.0,130645.0,84412,327935
2024-10-24 11:30:00+00:00,2024-10-24 08:30:00+00:00,130650.0,130910.0,130640.0,130905.0,78736,301676
2024-10-24 11:40:00+00:00,2024-10-24 08:40:00+00:00,130905.0,131095.0,130860.0,131095.0,89106,362184
2024-10-24 11:50:00+00:00,2024-10-24 08:50:00+00:00,131090.0,131295.0,131075.0,131270.0,98281,406562
2024-10-24 12:00:00+00:00,2024-10-24 09:00:00+00:00,131270.0,131405.0,131210.0,131250.0,104657,441351
2024-10-24 12:10:00+00:00,2024-10-24 09:10:00+00:00,131245.0,131300.0,131135.0,131270.0,75437,308581
2024-10-24 12:20:00+00:00,2024-10-24 09:20:00+00:00,131270.0,131315.0,131170.0,131240.0,52527,210458
2024-10-24 12:30:00+00:00,2024-10-24 09:30:00+00:00,131245.0,131285.0,131180.0,131265.0,38757,161122
2024-10-24 12:40:00+00:00,2024-10-24 09:40:00+00:00,131270.0,131310.0,131150.0,131180.0,44201,184028
2024-10-24 12:50:00+00:00,2024-10-24 09:50:00+00:00,131180.0,131230.0,131045.0,131050.0,43617,176446
2024-10-25 10:00:00+00:00,2024-10-25 07:00:00+00:00,132040.0,132260.0,131930.0,132025.0,170572,581038
2024-10-25 10:10:00+00:00,2024-10-25 07:10:00+00:00,132025.0,132075.0,131785.0,132000.0,207740,688760
2024-10-25 10:20:00+00:00,2024-10-25 07:20:00+00:00,132000.0,132050.0,131735.0,131950.0,132437,435929
2024-10-25 10:30:00+00:00,2024-10-25 07:30:00+00:00,131945.0,132045.0,131680.0,131955.0,176807,579334
2024-10-25 10:40:00+00:00,2024-10-25 07:40:00+00:00,131955.0,132100.0,131870.0,132055.0,122862,413454
2024-10-25 10:50:00+00:00,2024-10-25 07:50:00+00:00,132055.0,132125.0,131800.0,131845.0,114525,399072
2024-10-25 11:00:00+00:00,2024-10-25 08:00:00+00:00,131845.0,132085.0,131770.0,132040.0,118168,417997
2024-10-25 11:10:00+00:00,2024-10-25 08:10:00+00:00,132035.0,132340.0,132035.0,132165.0,136762,489923
2024-10-25 11:20:00+00:00,2024-10-25 08:20:00+00:00,132165.0,132210.0,131790.0,131905.0,123688,444229
2024-10-25 11:30:00+00:00,2024-10-25 08:30:00+00:00,131910.0,132015.0,131735.0,131885.0,112718,412282
2024-10-25 11:40:00+00:00,2024-10-25 08:40:00+00:00,131885.0,132000.0,131805.0,132000.0,80285,289550
2024-10-25 11:50:00+00:00,2024-10-25 08:50:00+00:00,132000.0,132185.0,131995.0,132125.0,84501,324120
2024-10-25 12:00:00+00:00,2024-10-25 09:00:00+00:00,132120.0,132145.0,131870.0,131945.0,69413,264885
2024-10-25 12:10:00+00:00,2024-10-25 09:10:00+00:00,131940.0,132095.0,131920.0,132010.0,64934,255708
2024-10-25 12:20:00+00:00,2024-10-25 09:20:00+00:00,132005.0,132035.0,131805.0,131820.0,59021,223944
2024-10-25 12:30:00+00:00,2024-10-25 09:30:00+00:00,131820.0,131955.0,131795.0,131855.0,52221,206028
2024-10-25 12:40:00+00:00,2024-10-25 09:40:00+00:00,131860.0,131870.0,131700.0,131705.0,52320,209662
2024-10-25 12:50:00+00:00,2024-10-25 09:50:00+00:00,131710.0,131760.0,131585.0,131665.0,64800,259239
2024-10-28 10:00:00+00:00,2024-10-28 07:00:00+00:00,132460.0,132640.0,132420.0,132520.0,164895,629708
2024-10-28 10:10:00+00:00,2024-10-28 07:10:00+00:00,132520.0,132575.0,132265.0,132540.0,189024,655662
2024-10-28 10:20:00+00:00,2024-10-28 07:20:00+00:00,132540.0,132740.0,132460.0,132730.0,147934,515595
2024-10-28 10:30:00+00:00,2024-10-28 07:30:00+00:00,132730.0,132860.0,132660.0,132840.0,152651,544383
2024-10-28 10:40:00+00:00,2024-10-28 07:40:00+00:00,132840.0,132885.0,132645.0,132865.0,124530,453725
2024-10-28 10:50:00+00:00,2024-10-28 07:50:00+00:00,132860.0,132960.0,132780.0,132875.0,109627,420939
2024-10-28 11:00:00+00:00,2024-10-28 08:00:00+00:00,132875.0,132960.0,132715.0,132805.0,133817,498187
2024-10-28 11:10:00+00:00,2024-10-28 08:10:00+00:00,132800.0,132900.0,132725.0,132860.0,84317,308730
2024-10-28 11:20:00+00:00,2024-10-28 08:20:00+00:00,132860.0,132895.0,132655.0,132705.0,102439,383820
2024-10-28 11:30:00+00:00,2024-10-28 08:30:00+00:00,132705.0,132765.0,132665.0,132700.0,49510,200961
2024-10-28 11:40:00+00:00,2024-10-28 08:40:00+00:00,132700.0,132810.0,132615.0,132765.0,86531,338275
2024-10-28 11:50:00+00:00,2024-10-28 08:50:00+00:00,132765.0,132955.0,132750.0,132895.0,85438,327518
2024-10-28 12:00:00+00:00,2024-10-28 09:00:00+00:00,132895.0,133000.0,132835.0,132975.0,72310,289013
2024-10-28 12:10:00+00:00,2024-10-28 09:10:00+00:00,132970.0,133120.0,132945.0,132980.0,92191,373158
2024-10-28 12:20:00+00:00,2024-10-28 09:20:00+00:00,132975.0,133020.0,132915.0,132945.0,47924,198400
2024-10-28 12:30:00+00:00,2024-10-28 09:30:00+00:00,132945.0,133005.0,132870.0,132890.0,45872,187137
2024-10-28 12:40:00+00:00,2024-10-28 09:40:00+00:00,132895.0,132965.0,132880.0,132925.0,38121,154447
2024-10-28 12:50:00+00:00,2024-10-28 09:50:00+00:00,132925.0,133020.0,132880.0,132970.0,46499,208402
2024-10-29 10:00:00+00:00,2024-10-29 07:00:00+00:00,133360.0,133445.0,133270.0,133435.0,123127,457309
2024-10-29 10:10:00+00:00,2024-10-29 07:10:00+00:00,133430.0,133475.0,133015.0,133035.0,197243,706121
2024-10-29 10:20:00+00:00,2024-10-29 07:20:00+00:00,133035.0,133395.0,133025.0,133215.0,179939,641889
2024-10-29 10:30:00+00:00,2024-10-29 07:30:00+00:00,133220.0,133370.0,133075.0,133160.0,186316,681684
2024-10-29 10:40:00+00:00,2024-10-29 07:40:00+00:00,133155.0,133225.0,132915.0,132950.0,153928,554913
2024-10-29 10:50:00+00:00,2024-10-29 07:50:00+00:00,132955.0,133165.0,132940.0,133060.0,130622,476110
2024-10-29 11:00:00+00:00,2024-10-29 08:00:00+00:00,133065.0,133230.0,132935.0,133000.0,170322,626189
2024-10-29 11:10:00+00:00,2024-10-29 08:10:00+00:00,133000.0,133150.0,132950.0,133085.0,92825,333146
2024-10-29 11:20:00+00:00,2024-10-29 08:20:00+00:00,133090.0,133145.0,132910.0,132980.0,120338,455244
2024-10-29 11:30:00+00:00,2024-10-29 08:30:00+00:00,132980.0,133110.0,132925.0,133095.0,65749,248279
2024-10-29 11:40:00+00:00,2024-10-29 08:40:00+00:00,133090.0,133150.0,132960.0,132975.0,72793,283088
2024-10-29 11:50:00+00:00,2024-10-29 08:50:00+00:00,132980.0,133040.0,132880.0,133020.0,81264,323997
2024-10-29 12:00:00+00:00,2024-10-29 09:00:00+00:00,133020.0,133150.0,133010.0,133110.0,58138,254307
2024-10-29 12:10:00+00:00,2024-10-29 09:10:00+00:00,133110.0,133180.0,133055.0,133150.0,53232,209304
2024-10-29 12:20:00+00:00,2024-10-29 09:20:00+00:00,133145.0,133245.0,133045.0,133070.0,71574,295559
2024-10-29 12:30:00+00:00,2024-10-29 09:30:00+00:00,133075.0,133135.0,133045.0,133095.0,36252,146222
2024-10-29 12:40:00+00:00,2024-10-29 09:40:00+00:00,133090.0,133110.0,132780.0,132850.0,85955,355275
2024-10-29 12:50:00+00:00,2024-10-29 09:50:00+00:00,132850.0,132925.0,132825.0,132895.0,45283,193513
2024-10-30 10:00:00+00:00,2024-10-30 07:00:00+00:00,132400.0,132555.0,132340.0,132545.0,140607,515609
2024-10-30 10:10:00+00:00,2024-10-30 07:10:00+00:00,132545.0,132650.0,132305.0,132410.0,173460,626848
2024-10-30 10:20:00+00:00,2024-10-30 07:20:00+00:00,132405.0,132605.0,132250.0,132435.0,179967,633346
2024-10-30 10:30:00+00:00,2024-10-30 07:30:00+00:00,132430.0,132570.0,132270.0,132360.0,180810,617620
2024-10-30 10:40:00+00:00,2024-10-30 07:40:00+00:00,132360.0,132455.0,132240.0,132380.0,131775,468339
2024-10-30 10:50:00+00:00,2024-10-30 07:50:00+00:00,132380.0,132705.0,132335.0,132610.0,138126,522392
2024-10-30 11:00:00+00:00,2024-10-30 08:00:00+00:00,132605.0,132620.0,132480.0,132570.0,103760,384688
2024-10-30 11:10:00+00:00,2024-10-30 08:10:00+00:00,132570.0,132665.0,132525.0,132650.0,72241,269881
2024-10-30 11:20:00+00:00,2024-10-30 08:20:00+00:00,132645.0,132665.0,132360.0,132405.0,92639,342238
2024-10-30 11:30:00+00:00,2024-10-30 08:30:00+00:00,132405.0,132465.0,132350.0,132375.0,58060,223614
2024-10-30 11:40:00+00:00,2024-10-30 08:40:00+00:00,132370.0,132410.0,132080.0,132270.0,138137,541383
2024-10-30 11:50:00+00:00,2024-10-30 08:50:00+00:00,132275.0,132410.0,132215.0,132335.0,74625,272747
2024-10-30 12:00:00+00:00,2024-10-30 09:00:00+00:00,132330.0,132430.0,132315.0,132420.0,62513,226011
2024-10-30 12:10:00+00:00,2024-10-30 09:10:00+00:00,132415.0,132435.0,132255.0,132295.0,64213,241842
2024-10-30 12:20:00+00:00,2024-10-30 09:20:00+00:00,132295.0,132460.0,132255.0,132450.0,47213,177196
2024-10-30 12:30:00+00:00,2024-10-30 09:30:00+00:00,132445.0,132715.0,132440.0,132560.0,91030,357073
2024-10-30 12:40:00+00:00,2024-10-30 09:40:00+00:00,132560.0,132585.0,132475.0,132505.0,43798,181973
2024-10-30 12:50:00+00:00,2024-10-30 09:50:00+00:00,132505.0,132595.0,132365.0,132440.0,62986,271136
2024-10-31 10:00:00+00:00,2024-10-31 07:00:00+00:00,131795.0,132300.0,131720.0,132210.0,192790,655910
2024-10-31 10:10:00+00:00,2024-10-31 07:10:00+00:00,132210.0,132300.0,131940.0,132015.0,192100,654510
2024-10-31 10:20:00+00:00,2024-10-31 07:20:00+00:00,132010.0,132020.0,131555.0,131720.0,196101,697734
2024-10-31 10:30:00+00:00,2024-10-31 07:30:00+00:00,131715.0,132050.0,131600.0,132015.0,169380,578263
2024-10-31 10:40:00+00:00,2024-10-31 07:40:00+00:00,132020.0,132190.0,131885.0,132020.0,167257,581789
2024-10-31 10:50:00+00:00,2024-10-31 07:50:00+00:00,132025.0,132120.0,131845.0,131965.0,122767,408584
2024-10-31 11:00:00+00:00,2024-10-31 08:00:00+00:00,131965.0,132135.0,131885.0,132110.0,101189,366380
2024-10-31 11:10:00+00:00,2024-10-31 08:10:00+00:00,132110.0,132300.0,132035.0,132295.0,121812,435525
2024-10-31 11:20:00+00:00,2024-10-31 08:20:00+00:00,132295.0,132335.0,132115.0,132170.0,96455,342433
2024-10-31 11:30:00+00:00,2024-10-31 08:30:00+00:00,132170.0,132240.0,131990.0,132020.0,86659,323066
2024-10-31 11:40:00+00:00,2024-10-31 08:40:00+00:00,132015.0,132085.0,131925.0,131950.0,66988,253538
2024-10-31 11:50:00+00:00,2024-10-31 08:50:00+00:00,131950.0,131995.0,131755.0,131785.0,82294,311001
2024-10-31 12:00:00+00:00,2024-10-31 09:00:00+00:00,131780.0,131815.0,131570.0,131750.0,104432,412255
2024-10-31 12:10:00+00:00,2024-10-31 09:10:00+00:00,131745.0,131890.0,131720.0,131825.0,61195,238421
